ID,Gender,Qualification,Department,Admission,Operation
51,Female,Q3,A,No,Keep
52,Female,Q3,A,No,Keep
53,Female,Q3,A,No,Keep
54,Female,Q3,A,No,Keep
55,Female,Q3,A,No,Keep
56,Female,Q3,A,No,Keep
57,Female,Q3,A,No,Keep
58,Female,Q3,A,No,Keep
59,Female,Q3,A,No,Keep
60,Female,Q3,A,No,Keep
17,Male,Q3,A,Yes,Delete
18,Male,Q3,A,Yes,Delete
19,Male,Q3,A,Yes,Delete
20,Male,Q3,A,Yes,Delete
171,Female,Q2,B,No,Delete
172,Female,Q2,B,No,Delete
173,Female,Q2,B,No,Delete
174,Female,Q2,B,No,Delete
175,Female,Q2,B,No,Delete
176,Female,Q2,B,No,Delete
91,Male,Q2,B,Yes,Keep
92,Male,Q2,B,Yes,Keep
93,Male,Q2,B,Yes,Keep
94,Male,Q2,B,Yes,Keep
95,Male,Q2,B,Yes,Keep
96,Male,Q2,B,Yes,Keep
97,Male,Q2,B,Yes,Keep
98,Male,Q2,B,Yes,Keep
99,Male,Q2,B,Yes,Keep
100,Male,Q2,B,Yes,Keep
