ID,Gender,Qualification,Department,Admission
1,Male,Q1,A,Yes
2,Male,Q1,A,Yes
3,Male,Q1,A,Yes
4,Male,Q1,A,Yes
5,Male,Q1,A,Yes
6,Male,Q1,A,Yes
7,Male,Q1,A,Yes
8,Male,Q1,A,Yes
9,Male,Q1,A,Yes
10,Male,Q1,A,Yes
11,Male,Q1,A,Yes
12,Male,Q1,A,Yes
13,Male,Q1,A,Yes
14,Male,Q1,A,Yes
15,Male,Q1,A,Yes
16,Male,Q1,A,Yes
21,Female,Q1,A,Yes
22,Female,Q1,A,Yes
23,Female,Q1,A,Yes
24,Female,Q1,A,Yes
25,Female,Q1,A,Yes
26,Female,Q1,A,Yes
27,Female,Q1,A,Yes
28,Female,Q1,A,Yes
29,Female,Q1,A,Yes
30,Female,Q1,A,Yes
31,Female,Q1,A,Yes
32,Female,Q1,A,Yes
33,Female,Q1,A,Yes
34,Female,Q1,A,Yes
35,Female,Q1,A,Yes
36,Female,Q1,A,Yes
37,Female,Q1,A,Yes
38,Female,Q1,A,Yes
39,Female,Q1,A,Yes
40,Female,Q1,A,Yes
41,Female,Q1,A,Yes
42,Female,Q1,A,Yes
43,Female,Q1,A,Yes
44,Female,Q1,A,Yes
45,Female,Q1,A,Yes
46,Female,Q1,A,Yes
51,Female,Q3,A,No
52,Female,Q3,A,No
53,Female,Q3,A,No
54,Female,Q3,A,No
55,Female,Q3,A,No
56,Female,Q3,A,No
57,Female,Q3,A,No
58,Female,Q3,A,No
59,Female,Q3,A,No
60,Female,Q3,A,No
47,Female,Q2,A,No
48,Female,Q2,A,No
49,Female,Q2,A,No
50,Female,Q2,A,No
61,Female,Q4,A,No
62,Female,Q4,A,No
63,Female,Q4,A,No
64,Female,Q4,A,No
65,Female,Q4,A,No
66,Female,Q4,A,No
67,Female,Q4,A,No
68,Female,Q4,A,No
69,Female,Q4,A,No
70,Female,Q4,A,No
71,Male,Q1,B,Yes
72,Male,Q1,B,Yes
73,Male,Q1,B,Yes
74,Male,Q1,B,Yes
75,Male,Q1,B,Yes
76,Male,Q1,B,Yes
77,Male,Q1,B,Yes
78,Male,Q1,B,Yes
79,Male,Q1,B,Yes
80,Male,Q1,B,Yes
81,Male,Q1,B,Yes
82,Male,Q1,B,Yes
83,Male,Q1,B,Yes
84,Male,Q1,B,Yes
85,Male,Q1,B,Yes
86,Male,Q1,B,Yes
87,Male,Q1,B,Yes
88,Male,Q1,B,Yes
89,Male,Q1,B,Yes
90,Male,Q1,B,Yes
161,Female,Q1,B,Yes
162,Female,Q1,B,Yes
163,Female,Q1,B,Yes
164,Female,Q1,B,Yes
165,Female,Q1,B,Yes
166,Female,Q1,B,Yes
167,Female,Q1,B,Yes
168,Female,Q1,B,Yes
169,Female,Q1,B,Yes
170,Female,Q1,B,Yes
91,Male,Q2,B,Yes
92,Male,Q2,B,Yes
93,Male,Q2,B,Yes
94,Male,Q2,B,Yes
95,Male,Q2,B,Yes
96,Male,Q2,B,Yes
97,Male,Q2,B,Yes
98,Male,Q2,B,Yes
99,Male,Q2,B,Yes
100,Male,Q2,B,Yes
101,Male,Q3,B,Yes
102,Male,Q3,B,Yes
103,Male,Q3,B,Yes
104,Male,Q3,B,Yes
105,Male,Q3,B,Yes
106,Male,Q3,B,Yes
107,Male,Q4,B,No
108,Male,Q4,B,No
109,Male,Q4,B,No
110,Male,Q4,B,No
111,Male,Q4,B,No
112,Male,Q4,B,No
113,Male,Q4,B,No
114,Male,Q4,B,No
115,Male,Q4,B,No
116,Male,Q4,B,No
117,Male,Q4,B,No
118,Male,Q4,B,No
119,Male,Q4,B,No
120,Male,Q4,B,No
121,Male,Q4,B,No
122,Male,Q4,B,No
123,Male,Q4,B,No
124,Male,Q4,B,No
125,Male,Q4,B,No
126,Male,Q4,B,No
127,Male,Q4,B,No
128,Male,Q4,B,No
129,Male,Q4,B,No
130,Male,Q4,B,No
131,Male,Q4,B,No
132,Male,Q4,B,No
133,Male,Q4,B,No
134,Male,Q4,B,No
135,Male,Q4,B,No
136,Male,Q4,B,No
137,Male,Q4,B,No
138,Male,Q4,B,No
139,Male,Q4,B,No
140,Male,Q4,B,No
141,Male,Q4,B,No
142,Male,Q4,B,No
143,Male,Q4,B,No
144,Male,Q4,B,No
145,Male,Q4,B,No
146,Male,Q4,B,No
147,Male,Q4,B,No
148,Male,Q4,B,No
149,Male,Q4,B,No
150,Male,Q4,B,No
151,Male,Q4,B,No
152,Male,Q4,B,No
153,Male,Q4,B,No
154,Male,Q4,B,No
155,Male,Q4,B,No
156,Male,Q4,B,No
157,Male,Q4,B,No
158,Male,Q4,B,No
159,Male,Q4,B,No
160,Male,Q4,B,No
177,Female,Q4,B,No
178,Female,Q4,B,No
179,Female,Q4,B,No
180,Female,Q4,B,No
181,Female,Q4,B,No
182,Female,Q4,B,No
183,Female,Q4,B,No
184,Female,Q4,B,No
185,Female,Q4,B,No
186,Female,Q4,B,No
187,Female,Q4,B,No
188,Female,Q4,B,No
189,Female,Q4,B,No
190,Female,Q4,B,No
191,Female,Q4,B,No
192,Female,Q4,B,No
193,Female,Q4,B,No
194,Female,Q4,B,No
195,Female,Q4,B,No
196,Female,Q4,B,No
197,Female,Q4,B,No
198,Female,Q4,B,No
199,Female,Q4,B,No
200,Female,Q4,B,No
