ID,Gender,SAT,Hobby,Admission
1,M,1580,Soccer,Yes
2,M,1560,Soccer,Yes
3,M,1540,Soccer,Yes
4,M,1520,Soccer,Yes
5,M,1500,Soccer,Yes
6,M,1480,Soccer,Yes
7,M,1460,Soccer,Yes
8,M,1440,Soccer,Yes
9,M,1420,Soccer,Yes
10,M,1400,Soccer,Yes
11,M,1450,Soccer,Yes
12,M,1410,Soccer,Yes
13,M,1380,Soccer,No
14,M,1340,Soccer,No
15,M,1300,Soccer,No
16,M,1260,Soccer,No
17,M,1220,Soccer,No
18,M,1180,Soccer,No
19,M,1140,Soccer,No
20,M,1100,Soccer,No
21,M,1060,Soccer,No
22,M,1020,Soccer,No
23,M,1200,Soccer,No
24,M,1080,Soccer,No
25,F,1580,Soccer,Yes
26,F,1560,Soccer,Yes
27,F,1540,Soccer,Yes
28,F,1520,Soccer,Yes
29,F,1480,Soccer,No
30,F,1460,Soccer,No
31,F,1440,Soccer,No
32,F,1420,Soccer,No
33,F,1380,Soccer,No
34,F,1340,Soccer,No
35,F,1300,Soccer,No
36,F,1250,Soccer,No
37,F,1200,Soccer,No
38,F,1150,Soccer,No
39,F,1100,Soccer,No
40,F,1050,Soccer,No
41,F,1000,Soccer,No
42,F,950,Soccer,No
43,F,900,Soccer,No
44,F,850,Soccer,No
45,F,800,Soccer,No
46,F,750,Soccer,No
47,F,1200,Soccer,No
48,F,1000,Soccer,No
