ID,Gender,SAT,Hobby,Admission,SAT_BIN,Operation
1,M,1580,Soccer,Yes,1500-1600,Keep
2,M,1560,Soccer,Yes,1500-1600,Keep
3,M,1540,Soccer,Yes,1500-1600,Keep
4,M,1520,Soccer,Yes,1500-1600,Keep
5,M,1500,Soccer,Yes,1500-1600,Keep
6,M,1480,Soccer,Yes,1400-1500,Keep
7,M,1460,Soccer,Yes,1400-1500,Keep
8,M,1440,Soccer,Yes,1400-1500,Keep
9,M,1420,Soccer,Yes,1400-1500,Keep
10,M,1400,Soccer,Yes,1400-1500,Keep
11,M,1450,Soccer,Yes,1400-1500,Keep
12,M,1410,Soccer,Yes,1400-1500,Keep
13,M,1380,Soccer,No,1300-1400,Keep
14,M,1340,Soccer,No,1300-1400,Keep
15,M,1300,Soccer,No,1300-1400,Keep
16,M,1260,Soccer,No,1200-1300,Keep
17,M,1220,Soccer,No,1200-1300,Keep
18,M,1180,Soccer,No,1100-1200,Keep
19,M,1140,Soccer,No,1100-1200,Keep
20,M,1100,Soccer,No,1100-1200,Keep
21,M,1060,Soccer,No,1000-1100,Keep
22,M,1020,Soccer,No,1000-1100,Keep
23,M,1200,Soccer,No,1200-1300,Keep
24,M,1080,Soccer,No,1000-1100,Keep
25,F,1580,Soccer,Yes,1500-1600,Keep
26,F,1560,Soccer,Yes,1500-1600,Keep
27,F,1540,Soccer,Yes,1500-1600,Keep
28,F,1520,Soccer,Yes,1500-1600,Keep
29,F,1480,Soccer,No,1400-1500,Delete
30,F,1460,Soccer,No,1400-1500,Delete
31,F,1440,Soccer,No,1400-1500,Delete
32,F,1420,Soccer,No,1400-1500,Delete
33,F,1380,Soccer,No,1300-1400,Keep
34,F,1340,Soccer,No,1300-1400,Keep
35,F,1300,Soccer,No,1300-1400,Keep
36,F,1250,Soccer,No,1200-1300,Keep
37,F,1200,Soccer,No,1200-1300,Keep
38,F,1150,Soccer,No,1100-1200,Keep
39,F,1100,Soccer,No,1100-1200,Keep
40,F,1050,Soccer,No,1000-1100,Keep
41,F,1000,Soccer,No,1000-1100,Keep
42,F,950,Soccer,No,900-1000,Keep
43,F,900,Soccer,No,900-1000,Keep
44,F,850,Soccer,No,800-900,Keep
45,F,800,Soccer,No,800-900,Keep
46,F,750,Soccer,No,700-800,Keep
47,F,1200,Soccer,No,1200-1300,Keep
48,F,1000,Soccer,No,1000-1100,Keep
