ID,Gender,Admission,SAT,Hobby
1,M,Yes,1580,Soccer
2,M,Yes,1560,Soccer
3,M,Yes,1540,Soccer
4,M,Yes,1520,Soccer
5,M,Yes,1500,Soccer
6,M,Yes,1480,Soccer
7,M,Yes,1460,Soccer
8,M,Yes,1440,Soccer
9,M,Yes,1420,Soccer
10,M,Yes,1400,Soccer
11,M,Yes,1450,Soccer
12,M,Yes,1410,Soccer
13,M,No,1380,Soccer
14,M,No,1340,Soccer
15,M,No,1300,Soccer
16,M,No,1260,Soccer
17,M,No,1220,Soccer
18,M,No,1180,Soccer
19,M,No,1140,Soccer
20,M,No,1100,Soccer
21,M,No,1060,Soccer
22,M,No,1020,Soccer
23,M,No,1200,Soccer
24,M,No,1080,Soccer
25,F,Yes,1580,Soccer
26,F,Yes,1560,Soccer
27,F,Yes,1540,Soccer
28,F,Yes,1520,Soccer
29,F,No,1380,Soccer
30,F,No,1340,Soccer
31,F,No,1300,Soccer
32,F,No,1250,Soccer
33,F,No,1200,Soccer
34,F,No,1150,Soccer
35,F,No,1100,Soccer
36,F,No,1050,Soccer
37,F,No,1000,Soccer
38,F,No,950,Soccer
39,F,No,900,Soccer
40,F,No,850,Soccer
41,F,No,800,Soccer
42,F,No,750,Soccer
