ID,Gender,SAT,Hobby
101,M,1590,Soccer
102,M,1570,Soccer
103,M,1550,Soccer
104,M,1530,Soccer
105,M,1510,Soccer
106,M,1490,Soccer
107,M,1470,Soccer
108,M,1450,Soccer
109,M,1430,Soccer
110,M,1410,Soccer
111,M,1405,Soccer
112,M,1485,Soccer
113,M,1390,Soccer
114,M,1360,Soccer
115,M,1320,Soccer
116,M,1280,Soccer
117,M,1240,Soccer
118,M,1190,Soccer
119,M,1160,Soccer
120,M,1120,Soccer
121,M,1090,Soccer
122,M,1040,Soccer
123,M,1210,Soccer
124,M,1070,Soccer
125,F,1590,Soccer
126,F,1570,Soccer
127,F,1550,Soccer
128,F,1530,Soccer
129,F,1490,Soccer
130,F,1470,Soccer
131,F,1450,Soccer
132,F,1430,Soccer
133,F,1390,Soccer
134,F,1360,Soccer
135,F,1320,Soccer
136,F,1280,Soccer
137,F,1240,Soccer
138,F,1190,Soccer
139,F,1160,Soccer
140,F,1110,Soccer
141,F,1080,Soccer
142,F,1030,Soccer
143,F,980,Soccer
144,F,930,Soccer
145,F,880,Soccer
146,F,820,Soccer
147,F,790,Soccer
148,F,1010,Soccer
