ID,Gender,SAT,Hobby,Admission
101,M,1590,Soccer,Yes
102,M,1570,Soccer,Yes
103,M,1550,Soccer,Yes
104,M,1530,Soccer,Yes
105,M,1510,Soccer,Yes
106,M,1490,Soccer,Yes
107,M,1470,Soccer,Yes
108,M,1450,Soccer,Yes
109,M,1430,Soccer,Yes
110,M,1410,Soccer,Yes
111,M,1405,Soccer,Yes
112,M,1485,Soccer,Yes
113,M,1390,Soccer,Yes
114,M,1360,Soccer,Yes
115,M,1320,Soccer,No
116,M,1280,Soccer,No
117,M,1240,Soccer,No
118,M,1190,Soccer,No
119,M,1160,Soccer,No
120,M,1120,Soccer,No
121,M,1090,Soccer,No
122,M,1040,Soccer,No
123,M,1210,Soccer,No
124,M,1070,Soccer,No
125,F,1590,Soccer,Yes
126,F,1570,Soccer,Yes
127,F,1550,Soccer,Yes
128,F,1530,Soccer,Yes
129,F,1490,Soccer,Yes
130,F,1470,Soccer,Yes
131,F,1450,Soccer,Yes
132,F,1430,Soccer,Yes
133,F,1390,Soccer,No
134,F,1360,Soccer,No
135,F,1320,Soccer,No
136,F,1280,Soccer,No
137,F,1240,Soccer,No
138,F,1190,Soccer,No
139,F,1160,Soccer,No
140,F,1110,Soccer,No
141,F,1080,Soccer,No
142,F,1030,Soccer,No
143,F,980,Soccer,No
144,F,930,Soccer,No
145,F,880,Soccer,No
146,F,820,Soccer,No
147,F,790,Soccer,No
148,F,1010,Soccer,No
