ID,Gender,SAT,Hobby,Admission,SAT_BIN,Operation
1,M,1600,Soccer,Yes,1600-1700,Keep
2,M,1580,Soccer,Yes,1500-1600,Keep
3,M,1570,Soccer,Yes,1500-1600,Keep
4,M,1570,Soccer,Yes,1500-1600,Keep
5,M,1560,Soccer,Yes,1500-1600,Keep
6,M,1550,Soccer,Yes,1500-1600,Keep
7,M,900,Soccer,Yes,900-1000,Keep
8,M,890,Soccer,Yes,800-900,Keep
9,M,880,Soccer,Yes,800-900,Keep
10,M,870,Soccer,Yes,800-900,Keep
11,M,860,Soccer,Yes,800-900,Keep
12,M,850,Soccer,Yes,800-900,Keep
13,M,500,Soccer,No,500-600,Keep
14,M,480,Soccer,No,400-500,Keep
15,M,460,Soccer,No,400-500,Keep
16,M,440,Soccer,No,400-500,Keep
17,M,420,Soccer,No,400-500,Keep
18,M,410,Soccer,No,400-500,Keep
19,F,1600,Soccer,Yes,1600-1700,Keep
20,F,1250,Soccer,No,1200-1300,Keep
21,F,1240,Soccer,No,1200-1300,Keep
22,F,1220,Soccer,No,1200-1300,Keep
23,F,500,Soccer,No,500-600,Keep
24,F,470,Soccer,No,400-500,Keep
25,F,440,Soccer,No,400-500,Keep
