ID,Gender,SAT,Hobby
1,M,1600,Soccer
2,F,1600,Soccer
3,M,1600,Dance
4,F,1600,Dance
5,M,1500,Soccer
6,F,1500,Soccer
7,M,1500,Dance
8,F,1500,Dance
9,M,1400,Soccer
10,F,1400,Soccer
11,M,1400,Dance
12,F,1400,Dance
13,M,1300,Soccer
14,F,1300,Soccer
15,M,1300,Dance
16,F,1300,Dance
17,M,1200,Soccer
18,F,1200,Soccer
19,M,1200,Dance
20,F,1200,Dance
21,M,1100,Soccer
22,F,1100,Soccer
23,M,1100,Dance
24,F,1100,Dance
25,M,1000,Soccer
26,F,1000,Soccer
27,M,1000,Dance
28,F,1000,Dance
29,M,900,Soccer
30,F,900,Soccer
31,M,900,Dance
32,F,900,Dance
33,M,800,Soccer
34,F,800,Soccer
35,M,800,Dance
36,F,800,Dance
37,M,700,Soccer
38,F,700,Soccer
39,M,700,Dance
40,F,700,Dance
41,M,600,Soccer
42,F,600,Soccer
43,M,600,Dance
44,F,600,Dance
45,M,500,Soccer
46,F,500,Soccer
47,M,500,Dance
48,F,500,Dance
