ID,Gender,SAT,Hobby,Admission
1,M,1600,Soccer,Yes
2,F,1600,Soccer,Yes
3,M,1600,Dance,Yes
4,F,1600,Dance,Yes
5,M,1500,Soccer,Yes
6,F,1500,Soccer,Yes
7,M,1500,Dance,Yes
8,F,1500,Dance,Yes
9,M,1400,Soccer,Yes
10,F,1400,Soccer,Yes
11,M,1400,Dance,No
12,F,1400,Dance,No
13,M,1300,Soccer,Yes
14,F,1300,Soccer,Yes
15,M,1300,Dance,No
16,F,1300,Dance,No
17,M,1200,Soccer,Yes
18,F,1200,Soccer,Yes
19,M,1200,Dance,No
20,F,1200,Dance,No
21,M,1100,Soccer,Yes
22,F,1100,Soccer,Yes
23,M,1100,Dance,No
24,F,1100,Dance,No
25,M,1000,Soccer,Yes
26,F,1000,Soccer,Yes
27,M,1000,Dance,No
28,F,1000,Dance,No
29,M,900,Soccer,Yes
30,F,900,Soccer,Yes
31,M,900,Dance,No
32,F,900,Dance,No
33,M,800,Soccer,Yes
34,F,800,Soccer,Yes
35,M,800,Dance,No
36,F,800,Dance,No
37,M,700,Soccer,Yes
38,F,700,Soccer,Yes
39,M,700,Dance,No
40,F,700,Dance,No
41,M,600,Soccer,Yes
42,F,600,Soccer,Yes
43,M,600,Dance,No
44,F,600,Dance,No
45,M,500,Soccer,No
46,F,500,Soccer,No
47,M,500,Dance,No
48,F,500,Dance,No
