ID,Gender,SAT,Hobby,Admission
1,M,1600,Soccer,Yes
2,M,1570,Soccer,Yes
3,M,1540,Soccer,Yes
4,M,1510,Soccer,Yes
5,M,1480,Soccer,Yes
6,M,1450,Soccer,Yes
7,M,1420,Soccer,Yes
8,M,1390,Soccer,Yes
9,M,1360,Soccer,Yes
10,M,1330,Soccer,Yes
11,M,1300,Soccer,Yes
12,M,1250,Soccer,Yes
13,M,1200,Soccer,Yes
14,M,1150,Soccer,Yes
15,M,1100,Soccer,Yes
16,M,1000,Soccer,Yes
17,M,900,Soccer,Yes
18,M,800,Soccer,Yes
19,M,700,Soccer,Yes
20,M,600,Soccer,Yes
21,M,580,Soccer,No
22,M,540,Soccer,No
23,M,500,Soccer,No
24,M,460,Soccer,No
25,M,420,Soccer,No
26,M,1400,Dance,Yes
27,M,1200,Dance,Yes
28,M,1000,Dance,Yes
29,M,550,Dance,No
30,M,400,Dance,No
31,F,1600,Dance,Yes
32,F,1570,Dance,Yes
33,F,1540,Dance,Yes
34,F,1510,Dance,Yes
35,F,1500,Dance,Yes
36,F,1480,Dance,No
37,F,1450,Dance,No
38,F,1420,Dance,No
39,F,1390,Dance,No
40,F,1360,Dance,No
41,F,1330,Dance,No
42,F,1300,Dance,No
43,F,1250,Dance,No
44,F,1200,Dance,No
45,F,1150,Dance,No
46,F,1100,Dance,No
47,F,1000,Dance,No
48,F,900,Dance,No
49,F,800,Dance,No
50,F,700,Dance,No
51,F,600,Dance,No
52,F,550,Dance,No
53,F,500,Dance,No
54,F,450,Dance,No
55,F,400,Dance,No
56,F,1550,Soccer,Yes
57,F,1450,Soccer,No
58,F,1300,Soccer,No
59,F,1100,Soccer,No
60,F,600,Soccer,No
