ID,Gender,SAT,Hobby,Admission
1,M,1600,Soccer,Yes
2,M,1580,Soccer,Yes
3,M,1570,Soccer,Yes
4,M,1570,Soccer,Yes
5,M,1560,Soccer,Yes
6,M,1550,Soccer,Yes
7,M,900,Soccer,Yes
8,M,890,Soccer,Yes
9,M,880,Soccer,Yes
10,M,870,Soccer,Yes
11,M,860,Soccer,Yes
12,M,850,Soccer,Yes
13,M,500,Soccer,No
14,M,480,Soccer,No
15,M,460,Soccer,No
16,M,440,Soccer,No
17,M,420,Soccer,No
18,M,410,Soccer,No
19,F,1600,Soccer,Yes
20,F,1250,Soccer,No
21,F,1240,Soccer,No
22,F,1220,Soccer,No
23,F,500,Soccer,No
24,F,470,Soccer,No
25,F,440,Soccer,No
