ID,Gender,SAT,Hobby,Admission,FTA_Probability
1,M,1600,Soccer,Yes,1.0
2,M,1580,Soccer,Yes,1.0
3,M,1570,Soccer,Yes,1.0
4,M,1570,Soccer,Yes,1.0
5,M,1560,Soccer,Yes,0.9833333333333333
6,M,1550,Soccer,Yes,0.9666666666666667
7,M,900,Soccer,Yes,0.7666666666666667
8,M,890,Soccer,Yes,0.75
9,M,880,Soccer,Yes,0.7333333333333333
10,M,870,Soccer,Yes,0.7166666666666666
11,M,860,Soccer,Yes,0.6999999999999998
12,M,850,Soccer,Yes,0.6833333333333332
13,M,500,Soccer,No,0.09999999999999987
14,M,480,Soccer,No,0.06666666666666654
15,M,460,Soccer,No,0.033333333333333326
16,M,440,Soccer,No,-0.0
17,M,420,Soccer,No,0.0
18,M,410,Soccer,No,0.0
19,F,1600,Soccer,Yes,1.0
20,F,1250,Soccer,No,0.4666666666666667
21,F,1240,Soccer,No,0.44999999999999996
22,F,1220,Soccer,No,0.41666666666666663
23,F,500,Soccer,No,0.09999999999999987
24,F,470,Soccer,No,0.04999999999999993
25,F,440,Soccer,No,0.0
