ID,Gender,SAT,Hobby,FTA_Probability,FTA_Prediction
1,M,1600,Soccer,0.9999166666666668,Yes
2,M,1580,Soccer,0.9994999999999998,Yes
3,M,1570,Soccer,0.998083333333333,Yes
4,M,1570,Soccer,0.998083333333333,Yes
5,M,1560,Soccer,0.9824166666666642,Yes
6,M,1550,Soccer,0.9753333333333332,Yes
7,M,900,Soccer,0.7585000000000006,Yes
8,M,890,Soccer,0.7455833333333333,Yes
9,M,880,Soccer,0.7305833333333329,Yes
10,M,870,Soccer,0.7149166666666676,Yes
11,M,860,Soccer,0.7009166666666675,Yes
12,M,850,Soccer,0.6936666666666678,Yes
13,M,500,Soccer,0.0949166666666666,No
14,M,480,Soccer,0.061583333333333164,No
15,M,460,Soccer,0.03391666666666656,No
16,M,440,Soccer,0.001416666666666664,No
17,M,420,Soccer,0.0010833333333333311,No
18,M,410,Soccer,0.0010833333333333311,No
19,F,1600,Soccer,0.9999166666666668,Yes
20,F,1250,Soccer,0.48991666666666794,No
21,F,1240,Soccer,0.4837500000000015,No
22,F,1220,Soccer,0.4515833333333342,No
23,F,500,Soccer,0.0949166666666666,No
24,F,470,Soccer,0.04558333333333327,No
25,F,440,Soccer,0.001416666666666664,No
26,M,1250,Soccer,0.48991666666666794,No
27,M,1230,Soccer,0.45866666666666767,No
