ID,Gender,SAT,Hobby,FTA_Probability,FTA_Prediction
101,M,910,Soccer,0.7585000000000006,Yes
102,M,875,Soccer,0.720083333333334,Yes
103,M,845,Soccer,0.6936666666666679,Yes
104,M,810,Soccer,0.6936666666666679,Yes
105,M,790,Soccer,0.6936666666666679,Yes
106,M,520,Soccer,0.0949166666666666,No
107,F,1270,Soccer,0.48991666666666783,No
108,F,1230,Soccer,0.45866666666666767,No
109,F,1190,Soccer,0.4504166666666676,No
110,F,1050,Soccer,0.7541666666666674,Yes
111,F,510,Soccer,0.0949166666666666,No
112,F,450,Soccer,0.0048333333333333275,No
