ID,Gender,SAT,Admission,v1,v2,v3,v4,v5,v6,v7,v8,LFR_Score,Predicted_Admission
1,M,1550,Yes,1.551710726128679e-06,3.2461073621695467e-06,0.03136104897495291,0.17167617876051186,0.17200744603941726,0.17246402698542185,0.22282802203813368,0.22965847936050834,0.5793749623504119,Yes
2,M,1560,Yes,1.2339921870560449e-06,2.602218609156011e-06,0.028983718331188794,0.16914076608264178,0.16948921801408867,0.16996967639613175,0.2253073191073305,0.23710546583411174,0.5849985565103426,Yes
3,M,1570,Yes,9.807786021130222e-07,2.084882583162514e-06,0.026771613387282303,0.1665495535700318,0.1669144088813732,0.16741767135520697,0.22768672961879013,0.24465695750166463,0.5907504274830541,Yes
4,M,1580,Yes,7.790942484331048e-07,1.6694748010514522e-06,0.024714705098886118,0.16390760196827014,0.16428806914962543,0.16481304764703678,0.2299643854917994,0.2523097420501016,0.5966191344210993,Yes
5,M,1590,Yes,6.185471202544273e-07,1.3361090638208333e-06,0.022803425750637176,0.16121984340136838,0.16161512302778772,0.16216071796390108,0.23213852478941444,0.2600604103847011,0.6025935193120964,Yes
6,M,1600,Yes,4.90820297355655e-07,1.0687371004986199e-06,0.021028664527292077,0.15849108091845104,0.15890036788778336,0.15946547125413527,0.2342074966454413,0.2679053591827085,0.6086627095592636,Yes
7,M,850,Yes,0.35086338766706804,0.4189311082108699,0.1915961733273251,0.011925450834972916,0.011840005211579678,0.011722936367298811,0.00251783813761843,0.0006031002013740461,0.20093450545192032,No
8,M,860,Yes,0.3361453282234037,0.40458603563498874,0.21332302344043308,0.014154692570028974,0.014055105235634809,0.013918637121979919,0.0030670487706619294,0.0007501289624102398,0.22416097173445507,No
9,M,870,Yes,0.320451879204464,0.3887996656145476,0.23633897371098625,0.016717556191947446,0.016602099993563362,0.016443858556837332,0.0037175795622228333,0.000928387126551199,0.2489792811881479,No
10,M,880,Yes,0.30385153330816944,0.3716239910349832,0.26043288790979413,0.01963848623350015,0.01950539795776066,0.019322958415093728,0.004481905841470483,0.001142839262065799,0.2752162511748274,No
11,M,890,Yes,0.2864486347316043,0.3531574061355125,0.28532710057714994,0.022936647514363848,0.02278417566981721,0.022575127970906817,0.005372196626105471,0.0013987107392241672,0.3026306193108729,No
12,M,900,Yes,0.26838372827527107,0.3335469656858092,0.310680732334217,0.026624163578472276,0.026450624247904106,0.026212649659263693,0.006399781869348827,0.001701354316359044,0.33091451841527436,Yes
13,M,400,No,0.5454817492676455,0.4541700534845503,0.0003445440569433756,1.2063397628420761e-06,1.1906961174119095e-06,1.1694215837171072e-06,7.924956118937812e-08,7.429287519122854e-09,0.0036829321477044007,No
14,M,420,No,0.5414434870859179,0.45808904510294174,0.0004618930383898581,1.8378741420027554e-06,1.8145135190087934e-06,1.7827340895463786e-06,1.2716789122538675e-07,1.2428964325077992e-08,0.003826887802337955,No
15,M,440,No,0.5373788613983896,0.46199348636646065,0.0006191453355276543,2.7997317808500714e-06,2.7648655310165866e-06,2.7174187543012427e-06,2.040387284198546e-07,2.0791089693892953e-08,0.004009958581159727,No
16,M,460,No,0.5332813566308814,0.4658758267908887,0.0008298358093889726,4.264473936108459e-06,4.212463956139295e-06,4.141664782553718e-06,3.273377738738204e-07,3.477506417049044e-08,0.0042454400542569675,No
17,M,480,No,0.5291421162732327,0.46972600792215885,0.0011120692816423158,6.494632898350471e-06,6.41709528356483e-06,6.311512233528276e-06,5.250730731347165e-07,5.815656332395256e-08,0.004551142831681938,No
18,M,500,No,0.524949159425257,0.47353057233268336,0.00149004883839843,9.889463632636687e-06,9.773942143103397e-06,9.616585505870996e-06,8.421168474500495e-07,9.724303727957934e-08,0.004950916032963362,No
19,M,520,No,0.5206863369758362,0.4772714568237836,0.0019961040892831528,1.505583649668418e-05,1.4883842382516696e-05,1.4649486066450529e-05,1.3503271103444624e-06,1.6256697252513966e-07,0.0054766766374236405,No
20,M,540,No,0.5163319430797297,0.480924360106766,0.0026733741248730256,2.2915583310916726e-05,2.265970415635059e-05,2.2310934200092306e-05,2.1647088509843505e-06,2.717064796861824e-07,0.006171105592706223,No
21,M,560,No,0.5118568726942953,0.48445653959564355,0.00357934062408471,3.4867730192749815e-05,3.4487375203912106e-05,3.396877262705385e-05,3.4691791857586103e-06,4.539775812549613e-07,0.007091216557204086,No
22,M,580,No,0.5072221860422276,0.487823847247545,0.004790451813838837,5.303304871803293e-05,5.2468204881158784e-05,5.1697805943097426e-05,5.557559596155803e-06,7.582265279260784e-07,0.008313055276339252,No
23,F,1550,Yes,1.551710726128679e-06,3.2461073621695467e-06,0.03136104897495291,0.17167617876051186,0.17200744603941726,0.17246402698542185,0.22282802203813368,0.22965847936050834,0.5793749623504119,Yes
24,F,1200,No,0.002948910222448801,0.004660579159702993,0.3097960310439962,0.18083378222844598,0.1803585413355985,0.17970270266924643,0.09466423946048748,0.047035213849093975,0.5565528963832211,Yes
25,F,1210,No,0.002418497105241115,0.003853036832830544,0.2952716442289182,0.18373851172537636,0.18327951031508716,0.18264589128240677,0.09871287889741955,0.05008002958319318,0.5511110000904547,Yes
26,F,1220,No,0.0019806582790971405,0.003180873464777704,0.28102670809666563,0.18642355413062675,0.1859820704465746,0.18537243976522463,0.10278781796036157,0.05324587782856935,0.5459438471970095,Yes
27,F,1230,No,0.0016198624574098174,0.002622371585978966,0.2671025625904985,0.18888869990819424,0.18846592715637736,0.18788193729045782,0.10688434008040236,0.0565342989039707,0.5410883734999913,Yes
28,F,1240,No,0.0013230429059758184,0.002159082661156685,0.25353371200972014,0.1911341868391768,0.19073123211363102,0.19017441771751234,0.11099763244904723,0.059946693278426506,0.5365749216918702,Yes
29,F,400,No,0.5454817492676455,0.4541700534845503,0.0003445440569433756,1.2063397628420761e-06,1.1906961174119095e-06,1.1694215837171072e-06,7.924956118937812e-08,7.429287519122854e-09,0.0036829321477044007,No
30,F,420,No,0.5414434870859179,0.45808904510294174,0.0004618930383898581,1.8378741420027554e-06,1.8145135190087934e-06,1.7827340895463786e-06,1.2716789122538675e-07,1.2428964325077992e-08,0.003826887802337955,No
31,F,440,No,0.5373788613983896,0.46199348636646065,0.0006191453355276543,2.7997317808500714e-06,2.7648655310165866e-06,2.7174187543012427e-06,2.040387284198546e-07,2.0791089693892953e-08,0.004009958581159727,No
32,F,460,No,0.5332813566308814,0.4658758267908887,0.0008298358093889726,4.264473936108459e-06,4.212463956139295e-06,4.141664782553718e-06,3.273377738738204e-07,3.477506417049044e-08,0.0042454400542569675,No
33,F,480,No,0.5291421162732327,0.46972600792215885,0.0011120692816423158,6.494632898350471e-06,6.41709528356483e-06,6.311512233528276e-06,5.250730731347165e-07,5.815656332395256e-08,0.004551142831681938,No
34,F,500,No,0.524949159425257,0.47353057233268336,0.00149004883839843,9.889463632636687e-06,9.773942143103397e-06,9.616585505870996e-06,8.421168474500495e-07,9.724303727957934e-08,0.004950916032963362,No
35,F,520,No,0.5206863369758362,0.4772714568237836,0.0019961040892831528,1.505583649668418e-05,1.4883842382516696e-05,1.4649486066450529e-05,1.3503271103444624e-06,1.6256697252513966e-07,0.0054766766374236405,No
36,F,540,No,0.5163319430797297,0.480924360106766,0.0026733741248730256,2.2915583310916726e-05,2.265970415635059e-05,2.2310934200092306e-05,2.1647088509843505e-06,2.717064796861824e-07,0.006171105592706223,No
37,F,560,No,0.5118568726942953,0.48445653959564355,0.00357934062408471,3.4867730192749815e-05,3.4487375203912106e-05,3.396877262705385e-05,3.4691791857586103e-06,4.539775812549613e-07,0.007091216557204086,No
38,F,580,No,0.5072221860422276,0.487823847247545,0.004790451813838837,5.303304871803293e-05,5.2468204881158784e-05,5.1697805943097426e-05,5.557559596155803e-06,7.582265279260784e-07,0.008313055276339252,No
39,F,600,No,0.5023759073403365,0.4909667608694897,0.006408122158911234,8.062140663857879e-05,7.978350822756935e-05,7.864031212759903e-05,8.898614328628087e-06,1.2657397024213329e-06,0.009937842607627352,No
