ID,Gender,SAT,Admission
1,M,1580,Yes
2,M,1560,Yes
3,M,1540,Yes
4,M,1530,Yes
5,M,1520,Yes
6,M,1510,Yes
7,M,1500,Yes
8,M,1590,Yes
9,M,1570,Yes
10,M,1550,Yes
11,M,1520,Yes
12,M,1510,Yes
13,M,1500,Yes
14,M,1390,Yes
15,M,1370,Yes
16,M,1350,Yes
17,M,1330,Yes
18,M,1310,Yes
19,M,1290,Yes
20,M,1270,Yes
21,M,1250,Yes
22,M,1230,Yes
23,M,1210,Yes
24,M,1200,Yes
25,M,1200,Yes
26,M,1100,No
27,M,1050,No
28,M,1000,No
29,M,950,No
30,M,900,No
31,M,850,No
32,M,800,No
33,M,1180,No
34,M,1130,No
35,M,1080,No
36,M,1030,No
37,M,980,No
38,M,930,No
39,M,880,No
40,M,830,No
41,F,1580,Yes
42,F,1450,No
43,F,1430,No
44,F,1410,No
45,F,1490,No
46,F,1470,No
47,F,1450,No
48,F,1430,No
49,F,1410,No
50,F,1490,No
51,F,1470,No
52,F,1450,No
53,F,1430,No
54,F,1180,No
55,F,1130,No
56,F,1080,No
57,F,1030,No
58,F,980,No
59,F,930,No
60,F,880,No
61,F,830,No
62,F,800,No
63,F,1150,No
64,F,1100,No
65,F,1050,No
66,F,1000,No
67,F,950,No
68,F,900,No
