ID,Gender,SAT,Admission
1,M,1550,Yes
2,M,1560,Yes
3,M,1570,Yes
4,M,1580,Yes
5,M,1600,Yes
6,M,800,Yes
7,M,810,Yes
8,M,820,Yes
9,M,830,Yes
10,M,840,Yes
11,M,850,Yes
12,M,860,Yes
13,M,870,Yes
14,M,880,Yes
15,M,890,Yes
16,M,900,Yes
17,M,800,Yes
18,M,810,Yes
19,M,820,Yes
20,M,830,Yes
21,M,840,Yes
22,M,850,Yes
23,M,860,Yes
24,M,870,Yes
25,M,880,Yes
26,M,400,No
27,M,425,No
28,M,450,No
29,M,475,No
30,M,500,No
31,F,1550,Yes
32,F,1560,Yes
33,F,1570,Yes
34,F,1580,Yes
35,F,1600,Yes
36,F,1200,No
37,F,1210,No
38,F,1220,No
39,F,1230,No
40,F,1240,No
41,F,1250,No
42,F,1260,No
43,F,1270,No
44,F,1280,No
45,F,1290,No
46,F,1300,No
47,F,1200,No
48,F,1210,No
49,F,1220,No
50,F,1230,No
51,F,1240,No
52,F,1250,No
53,F,1260,No
54,F,1270,No
55,F,1280,No
56,F,400,No
57,F,425,No
58,F,450,No
59,F,475,No
60,F,500,No
