Gender,SAT,LFR_Score,Predicted_Admission
M,1550,0.795,Yes
M,1560,0.802,Yes
M,1570,0.808,Yes
M,1580,0.815,Yes
M,1600,0.827,Yes
M,800,0.491,No
M,810,0.499,No
M,820,0.505,No
M,830,0.512,No
M,840,0.518,No
M,850,0.523,No
M,860,0.529,No
M,870,0.533,No
M,880,0.538,No
M,890,0.542,No
M,900,0.546,No
M,800,0.491,No
M,810,0.499,No
M,820,0.505,No
M,830,0.512,No
M,840,0.518,No
M,850,0.523,No
M,860,0.529,No
M,870,0.533,No
M,880,0.538,No
M,400,0.103,No
M,425,0.114,No
M,450,0.128,No
M,475,0.144,No
M,500,0.163,No
F,1550,0.795,Yes
F,1560,0.802,Yes
F,1570,0.808,Yes
F,1580,0.815,Yes
F,1600,0.827,Yes
F,1200,0.616,Yes
F,1210,0.618,Yes
F,1220,0.621,Yes
F,1230,0.624,Yes
F,1240,0.627,Yes
F,1250,0.631,Yes
F,1260,0.634,Yes
F,1270,0.638,Yes
F,1280,0.641,Yes
F,1290,0.645,Yes
F,1300,0.649,Yes
F,1200,0.616,Yes
F,1210,0.618,Yes
F,1220,0.621,Yes
F,1230,0.624,Yes
F,1240,0.627,Yes
F,1250,0.631,Yes
F,1260,0.634,Yes
F,1270,0.638,Yes
F,1280,0.641,Yes
F,400,0.103,No
F,425,0.114,No
F,450,0.128,No
F,475,0.144,No
F,500,0.163,No
