ID,Gender,SAT,Admission,Band
1,M,826,Yes,Middle
2,M,1553,Yes,High
3,M,871,Yes,Middle
4,F,1584,Yes,High
5,F,411,No,Low
6,M,807,Yes,Middle
7,M,852,Yes,Middle
8,F,446,No,Low
9,M,830,Yes,Middle
10,F,429,No,Low
11,F,477,No,Low
12,M,475,No,Low
13,F,1210,No,Middle
14,F,427,No,Low
15,M,839,Yes,Middle
16,F,1581,Yes,High
17,F,1585,Yes,High
18,F,1230,No,Middle
19,M,817,Yes,Middle
20,F,1266,No,Middle
21,F,1261,No,Middle
22,F,1558,Yes,High
23,M,890,Yes,Middle
24,F,1283,No,Middle
25,F,1567,Yes,High
26,M,800,Yes,Middle
27,M,824,Yes,Middle
28,M,816,Yes,Middle
29,M,811,Yes,Middle
30,F,1265,No,Middle
31,F,1254,No,Middle
32,M,836,Yes,Middle
33,M,494,No,Low
34,M,493,No,Low
35,M,488,No,Low
36,M,832,Yes,Middle
37,M,868,Yes,Middle
38,F,1223,No,Middle
39,M,423,No,Low
40,F,1249,No,Middle
41,M,856,Yes,Middle
42,F,1240,No,Middle
43,M,883,Yes,Middle
44,M,863,Yes,Middle
45,F,493,No,Low
46,F,1229,No,Middle
47,M,812,Yes,Middle
48,F,1583,Yes,High
49,F,1212,No,Middle
50,M,1574,Yes,High
51,F,1264,No,Middle
52,F,1297,No,Middle
53,M,847,Yes,Middle
54,F,1214,No,Middle
55,M,1582,Yes,High
56,F,1273,No,Middle
57,M,891,Yes,Middle
58,F,1209,No,Middle
59,F,1263,No,Middle
60,M,479,No,Low
61,F,1215,No,Middle
62,M,822,Yes,Middle
63,M,876,Yes,Middle
64,M,424,No,Low
65,F,1225,No,Middle
66,F,1279,No,Middle
67,M,407,No,Low
68,M,848,Yes,Middle
69,F,1241,No,Middle
70,F,1582,Yes,High
71,F,498,No,Low
72,M,806,Yes,Middle
73,F,1275,No,Middle
74,M,898,Yes,Middle
75,M,472,No,Low
76,M,869,Yes,Middle
77,F,1292,No,Middle
78,F,402,No,Low
79,F,1237,No,Middle
80,F,1218,No,Middle
81,M,842,Yes,Middle
82,M,1575,Yes,High
83,M,895,Yes,Middle
84,F,1572,Yes,High
85,M,1591,Yes,High
86,F,1296,No,Middle
87,M,893,Yes,Middle
88,F,434,No,Low
89,F,1221,No,Middle
90,F,1247,No,Middle
91,M,841,Yes,Middle
92,F,490,No,Low
93,F,1589,Yes,High
94,F,1287,No,Middle
95,F,1252,No,Middle
96,M,882,Yes,Middle
97,M,899,Yes,Middle
98,F,447,No,Low
99,F,1202,No,Middle
100,M,855,Yes,Middle
101,M,860,Yes,Middle
102,M,894,Yes,Middle
103,F,1560,Yes,High
104,F,1565,Yes,High
105,M,443,No,Low
106,F,1274,No,Middle
107,F,1553,Yes,High
108,M,828,Yes,Middle
109,M,889,Yes,Middle
110,F,1280,No,Middle
111,M,809,Yes,Middle
112,F,1281,No,Middle
113,M,801,Yes,Middle
114,F,1245,No,Middle
115,M,887,Yes,Middle
116,M,864,Yes,Middle
117,F,484,No,Low
118,F,1574,Yes,High
119,F,1554,Yes,High
120,F,1205,No,Middle
121,M,844,Yes,Middle
122,F,1298,No,Middle
123,F,1293,No,Middle
124,M,878,Yes,Middle
125,F,1259,No,Middle
126,F,1268,No,Middle
127,F,1226,No,Middle
128,F,1271,No,Middle
129,F,1262,No,Middle
130,M,825,Yes,Middle
131,F,1216,No,Middle
132,M,880,Yes,Middle
133,M,813,Yes,Middle
134,M,850,Yes,Middle
135,F,1260,No,Middle
136,F,1238,No,Middle
137,M,892,Yes,Middle
138,M,837,Yes,Middle
139,F,1235,No,Middle
140,F,1207,No,Middle
141,F,1258,No,Middle
142,F,1232,No,Middle
143,F,1213,No,Middle
144,F,1278,No,Middle
145,M,858,Yes,Middle
146,M,1599,Yes,High
147,F,1267,No,Middle
148,M,834,Yes,Middle
149,M,440,No,Low
150,F,1217,No,Middle
151,M,873,Yes,Middle
152,M,838,Yes,Middle
153,M,831,Yes,Middle
154,F,1269,No,Middle
155,M,815,Yes,Middle
156,M,430,No,Low
157,M,1586,Yes,High
158,M,870,Yes,Middle
159,F,1227,No,Middle
160,F,410,No,Low
161,M,865,Yes,Middle
162,F,460,No,Low
163,M,886,Yes,Middle
164,M,1585,Yes,High
165,M,1558,Yes,High
166,F,426,No,Low
167,M,829,Yes,Middle
168,F,500,No,Low
169,M,859,Yes,Middle
170,M,1584,Yes,High
171,M,1583,Yes,High
172,F,1557,Yes,High
173,M,849,Yes,Middle
174,M,854,Yes,Middle
175,M,851,Yes,Middle
176,F,1284,No,Middle
177,M,426,No,Low
178,F,1243,No,Middle
179,F,1242,No,Middle
180,M,810,Yes,Middle
181,M,819,Yes,Middle
182,F,1228,No,Middle
183,F,1563,Yes,High
184,F,449,No,Low
185,M,896,Yes,Middle
186,M,862,Yes,Middle
187,F,1285,No,Middle
188,F,1291,No,Middle
189,M,1590,Yes,High
190,M,460,No,Low
191,F,1588,Yes,High
192,M,866,Yes,Middle
193,M,1581,Yes,High
194,F,443,No,Low
195,M,442,No,Low
196,M,468,No,Low
197,M,821,Yes,Middle
198,F,1571,Yes,High
199,F,1596,Yes,High
200,F,1250,No,Middle
201,F,1251,No,Middle
202,M,884,Yes,Middle
203,M,874,Yes,Middle
204,F,1288,No,Middle
205,F,1236,No,Middle
206,M,803,Yes,Middle
207,M,900,Yes,Middle
208,F,406,No,Low
209,F,1294,No,Middle
210,M,818,Yes,Middle
211,F,1204,No,Middle
212,M,477,No,Low
213,F,1272,No,Middle
214,M,1572,Yes,High
215,F,1256,No,Middle
216,F,1248,No,Middle
217,F,1270,No,Middle
218,M,1556,Yes,High
219,F,1300,No,Middle
220,F,1551,Yes,High
221,M,845,Yes,Middle
222,M,857,Yes,Middle
223,F,1224,No,Middle
224,M,1600,Yes,High
225,F,1233,No,Middle
226,M,1592,Yes,High
227,M,888,Yes,Middle
228,M,827,Yes,Middle
229,M,1565,Yes,High
230,M,1577,Yes,High
231,M,409,No,Low
232,F,1201,No,Middle
233,M,1552,Yes,High
234,M,879,Yes,Middle
235,M,497,No,Low
236,M,427,No,Low
237,F,1289,No,Middle
238,F,1206,No,Middle
239,F,489,No,Low
240,F,1200,No,Middle
