Az,Ax,Ay,CV_Accuracy,CV_Discrimination,CV_Delta,CV_Male_Yes_Rate,CV_Female_Yes_Rate,CV_Mean_Score_Gap,CV_Near_Threshold_Count,All_Folds_Converged,Mean_Fold_Objective,Selected_min_discrimination,Selected_max_delta
0.0,0.01,0.1,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6664665136289704,0,True,0.0005749757865520349,False,False
0.1,0.01,0.1,0.3489583333333333,0.6354166666666667,-0.2864583333333334,0.19791666666666666,0.8333333333333334,0.014463328847637957,13,True,0.06613960362890452,False,False
0.5,0.01,0.1,0.5520833333333334,0.22916666666666663,0.32291666666666674,0.5625,0.7916666666666666,0.02361231689719795,15,True,0.12493378329523364,False,False
1.0,0.01,0.1,0.4947916666666667,0.34375000000000006,0.15104166666666663,0.3020833333333333,0.6458333333333334,0.010473758683549883,74,True,0.10850526616327547,False,False
5.0,0.01,0.1,0.5729166666666666,0.18750000000000003,0.38541666666666663,0.16666666666666666,0.3541666666666667,0.013489676823371766,20,True,0.3893100090587446,True,False
10.0,0.01,0.1,0.4635416666666667,0.34375000000000006,0.11979166666666663,0.3333333333333333,0.6770833333333334,0.035422018397156474,53,True,1.8117977710144326,False,False
0.0,0.01,0.5,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.666618849139369,0,True,0.0005872162559921247,False,False
0.1,0.01,0.5,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6318821636257745,0,True,0.14080418249627558,False,False
0.5,0.01,0.5,0.3541666666666667,0.625,-0.2708333333333333,0.20833333333333334,0.8333333333333334,0.011430445077658669,22,True,0.32004306309690855,False,False
1.0,0.01,0.5,0.4375,0.45833333333333337,-0.02083333333333337,0.375,0.8333333333333334,0.0243909797607596,17,True,0.38253141621034625,False,False
5.0,0.01,0.5,0.4791666666666667,0.3125,0.16666666666666669,0.22916666666666666,0.5416666666666666,0.010967125390907162,46,True,0.37217947157838116,False,False
10.0,0.01,0.5,0.5625,0.20833333333333334,0.35416666666666663,0.16666666666666666,0.375,0.018461652123198502,26,True,1.3376266481042882,False,False
0.0,0.01,1.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6666392587231189,0,True,0.0006052018249071876,False,False
0.1,0.01,1.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6644100744138098,0,True,0.13959192864527017,False,False
0.5,0.01,1.0,0.4895833333333333,0.3541666666666667,0.13541666666666663,0.3541666666666667,0.7083333333333334,3.9395012320864176e-05,18,True,0.523244326789176,False,False
1.0,0.01,1.0,0.3333333333333333,0.6666666666666667,-0.3333333333333334,0.16666666666666666,0.8333333333333334,0.02516377065504455,19,True,0.7124372322396489,False,False
5.0,0.01,1.0,0.4322916666666667,0.46875000000000006,-0.03645833333333337,0.3020833333333333,0.7708333333333334,0.01183541809840677,32,True,0.959253303567072,False,False
10.0,0.01,1.0,0.4270833333333333,0.47916666666666674,-0.052083333333333426,0.16666666666666666,0.6458333333333334,0.0002130712544543556,29,True,0.6253881829633207,False,False
0.0,0.01,5.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.666660538994022,0,True,0.0006883369936033201,False,False
0.1,0.01,5.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6660009313081768,0,True,0.16128955455924088,False,False
0.5,0.01,5.0,0.8697916666666666,0.40625000000000006,0.4635416666666666,0.7083333333333334,0.3020833333333333,0.5286825478123118,6,True,1.1088757719371358,False,True
1.0,0.01,5.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6530704352957472,0,True,1.3521923589479272,False,False
5.0,0.01,5.0,0.359375,0.6145833333333334,-0.25520833333333337,0.21875,0.8333333333333334,0.0076898738185608995,19,True,3.118518438550607,False,False
10.0,0.01,5.0,0.4895833333333333,0.35416666666666663,0.13541666666666669,0.46875,0.8229166666666666,0.0031049262762632424,16,True,2.760487807993749,False,False
0.0,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6666639958080606,0,True,0.0007056921305859278,False,False
0.1,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.6659429857323392,0,True,0.16323009954122628,False,False
0.5,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.665400422492739,0,True,0.6853156106498659,False,False
1.0,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,0.8333333333333334,0.16666666666666666,0.661315621675041,0,True,1.389171216284867,False,False
5.0,0.01,10.0,0.4895833333333333,0.35416666666666663,0.13541666666666669,0.3125,0.6666666666666666,0.004824986493094208,13,True,5.304582388462286,False,False
10.0,0.01,10.0,0.5260416666666666,0.28125,0.24479166666666663,0.46875,0.75,0.0020758841080408263,19,True,5.272133771463926,False,False
