Az,Ax,Ay,In_Sample_Accuracy,In_Sample_Discrimination,In_Sample_Delta,Training_Objective,Optimization_Success,Iterations,Selected_min_discrimination,Selected_max_delta
0.0,0.01,0.1,1.0,0.6666666666666667,0.33333333333333326,3.708766927793025e-05,True,31,False,False
0.1,0.01,0.1,0.7,0.06666666666666665,0.6333333333333333,0.046729246523501675,True,49,False,False
0.5,0.01,0.1,0.6333333333333333,0.06666666666666665,0.5666666666666667,0.04739924697700889,True,80,False,False
1.0,0.01,0.1,0.6666666666666666,0.0,0.6666666666666666,0.05007421538017931,True,61,True,True
5.0,0.01,0.1,0.6666666666666666,0.0,0.6666666666666666,0.05495954079085168,True,72,False,False
10.0,0.01,0.1,0.6666666666666666,0.0,0.6666666666666666,0.07275406556275421,True,61,False,False
0.0,0.01,0.5,1.0,0.6666666666666667,0.33333333333333326,0.0001544722459826955,True,31,False,False
0.1,0.01,0.5,1.0,0.6666666666666667,0.33333333333333326,0.13346211922001916,True,43,False,False
0.5,0.01,0.5,0.5,0.33333333333333337,0.16666666666666663,0.2325349960199106,True,52,False,False
1.0,0.01,0.5,0.5666666666666667,0.20000000000000007,0.3666666666666666,0.3259011937327169,True,38,False,False
5.0,0.01,0.5,0.7333333333333333,0.1333333333333333,0.6,0.24191647424217982,True,48,False,False
10.0,0.01,0.5,0.5,0.33333333333333337,0.16666666666666663,2.6748338548360553,True,27,False,False
0.0,0.01,1.0,1.0,0.6666666666666667,0.33333333333333326,0.0003006175437889958,True,30,False,False
0.1,0.01,1.0,1.0,0.6666666666666667,0.33333333333333326,0.13361034045043102,True,35,False,False
0.5,0.01,1.0,0.8333333333333334,0.3333333333333333,0.5,0.4639335759713727,True,37,False,False
1.0,0.01,1.0,0.5,0.33333333333333337,0.16666666666666663,0.4648511409343618,True,63,False,False
5.0,0.01,1.0,0.5,0.33333333333333337,0.16666666666666663,0.47174929191969883,True,60,False,False
10.0,0.01,1.0,0.6666666666666666,0.0,0.6666666666666666,3.0106680951371163,True,24,False,False
0.0,0.01,5.0,1.0,0.6666666666666667,0.33333333333333326,0.0014685445955358754,True,35,False,False
0.1,0.01,5.0,1.0,0.6666666666666667,0.33333333333333326,0.134779399103104,True,35,False,False
0.5,0.01,5.0,1.0,0.6666666666666667,0.33333333333333326,0.6680144954762767,True,35,False,False
1.0,0.01,5.0,1.0,0.6666666666666667,0.33333333333333326,1.3345268649595785,True,41,False,False
5.0,0.01,5.0,0.5333333333333333,0.2666666666666667,0.2666666666666666,2.3234043383766267,True,64,False,False
10.0,0.01,5.0,0.6666666666666666,0.0,0.6666666666666666,5.638678141269449,True,14,False,False
0.0,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,0.002928231702182824,True,39,False,False
0.1,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,0.1362392052263521,True,37,False,False
0.5,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,0.6694793627254045,True,32,False,False
1.0,0.01,10.0,1.0,0.6666666666666667,0.33333333333333326,1.336019357267387,True,39,False,False
5.0,0.01,10.0,0.8333333333333334,0.3333333333333333,0.5,4.637429277115738,True,59,False,False
10.0,0.01,10.0,0.7,0.06666666666666665,0.6333333333333333,4.6473526186929455,True,42,False,False
