ID,Gender,SAT,Admission
1,M,1550,Yes
2,M,1560,Yes
3,M,1570,Yes
4,M,1580,Yes
5,M,1590,Yes
6,M,1600,Yes
7,M,850,Yes
8,M,860,Yes
9,M,870,Yes
10,M,880,Yes
11,M,890,Yes
12,M,900,Yes
13,M,400,No
14,M,420,No
15,M,440,No
16,M,460,No
17,M,480,No
18,M,500,No
19,M,520,No
20,M,540,No
21,M,560,No
22,M,580,No
23,F,1550,Yes
24,F,1200,No
25,F,1210,No
26,F,1220,No
27,F,1230,No
28,F,1240,No
29,F,400,No
30,F,420,No
31,F,440,No
32,F,460,No
33,F,480,No
34,F,500,No
35,F,520,No
36,F,540,No
37,F,560,No
38,F,580,No
39,F,600,No
40,F,520,No
41,F,540,No
42,F,560,No
43,F,580,No
44,F,600,No
