ID,Gender,SAT,Admission
174,M,854,Yes
129,F,1262,No
23,M,890,Yes
240,F,1200,No
125,F,1259,No
139,F,1235,No
152,M,838,Yes
48,F,1583,Yes
236,M,427,No
154,F,1269,No
43,M,883,Yes
159,F,1227,No
189,M,1590,Yes
58,F,1209,No
7,M,852,Yes
143,F,1213,No
31,F,1254,No
220,F,1551,Yes
120,F,1205,No
28,M,816,Yes
184,F,449,No
29,M,811,Yes
131,F,1216,No
135,F,1260,No
177,M,426,No
36,M,832,Yes
232,F,1201,No
168,F,500,No
75,M,472,No
217,F,1270,No
229,M,1565,Yes
47,M,812,Yes
113,M,801,Yes
88,F,434,No
231,M,409,No
238,F,1206,No
40,F,1249,No
196,M,468,No
56,F,1273,No
96,M,882,Yes
52,F,1297,No
161,M,865,Yes
19,M,817,Yes
142,F,1232,No
207,M,900,Yes
51,F,1264,No
163,M,886,Yes
14,F,427,No
150,F,1217,No
10,F,429,No
239,F,489,No
160,F,410,No
100,M,855,Yes
230,M,1577,Yes
5,F,411,No
61,F,1215,No
49,F,1212,No
219,F,1300,No
112,F,1281,No
137,M,892,Yes
167,M,829,Yes
104,F,1565,Yes
92,F,490,No
183,F,1563,Yes
172,F,1557,Yes
223,F,1224,No
13,F,1210,No
115,M,887,Yes
116,M,864,Yes
2,M,1553,Yes
42,F,1240,No
130,M,825,Yes
93,F,1589,Yes
190,M,460,No
175,M,851,Yes
85,M,1591,Yes
79,F,1237,No
201,F,1251,No
182,F,1228,No
70,F,1582,Yes
105,M,443,No
233,M,1552,Yes
22,F,1558,Yes
38,F,1223,No
83,M,895,Yes
46,F,1229,No
126,F,1268,No
21,F,1261,No
27,M,824,Yes
119,F,1554,Yes
24,F,1283,No
198,F,1571,Yes
80,F,1218,No
3,M,871,Yes
4,F,1584,Yes
213,F,1272,No
33,M,494,No
228,M,827,Yes
128,F,1271,No
221,M,845,Yes
155,M,815,Yes
45,F,493,No
204,F,1288,No
53,M,847,Yes
214,M,1572,Yes
103,F,1560,Yes
122,F,1298,No
188,F,1291,No
90,F,1247,No
146,M,1599,Yes
77,F,1292,No
8,F,446,No
216,F,1248,No
121,M,844,Yes
65,F,1225,No
123,F,1293,No
171,M,1583,Yes
147,F,1267,No
149,M,440,No
225,F,1233,No
64,M,424,No
86,F,1296,No
101,M,860,Yes
35,M,488,No
224,M,1600,Yes
99,F,1202,No
11,F,477,No
44,M,863,Yes
30,F,1265,No
12,M,475,No
215,F,1256,No
144,F,1278,No
164,M,1585,Yes
218,M,1556,Yes
181,M,819,Yes
132,M,880,Yes
57,M,891,Yes
32,M,836,Yes
169,M,859,Yes
202,M,884,Yes
94,F,1287,No
138,M,837,Yes
73,F,1275,No
59,F,1263,No
97,M,899,Yes
210,M,818,Yes
235,M,497,No
145,M,858,Yes
41,M,856,Yes
25,F,1567,Yes
153,M,831,Yes
111,M,809,Yes
16,F,1581,Yes
68,M,848,Yes
186,M,862,Yes
20,F,1266,No
50,M,1574,Yes
108,M,828,Yes
55,M,1582,Yes
114,F,1245,No
91,M,841,Yes
134,M,850,Yes
151,M,873,Yes
133,M,813,Yes
185,M,896,Yes
148,M,834,Yes
208,F,406,No
109,M,889,Yes
141,F,1258,No
62,M,822,Yes
95,F,1252,No
37,M,868,Yes
194,F,443,No
165,M,1558,Yes
89,F,1221,No
60,M,479,No
107,F,1553,Yes
102,M,894,Yes
117,F,484,No
212,M,477,No
110,F,1280,No
227,M,888,Yes
9,M,830,Yes
180,M,810,Yes
162,F,460,No
72,M,806,Yes
195,M,442,No
118,F,1574,Yes
211,F,1204,No
82,M,1575,Yes
63,M,876,Yes
74,M,898,Yes
