Gender,SAT,LFR_Score,Predicted_Admission
M,1550,1.0,Yes
M,1560,1.0,Yes
M,1570,1.0,Yes
M,1580,1.0,Yes
M,1600,1.0,Yes
M,800,0.498,No
M,810,0.5,No
M,820,0.501,No
M,830,0.501,No
M,840,0.501,Yes
M,850,0.501,Yes
M,860,0.501,Yes
M,870,0.501,Yes
M,880,0.501,Yes
M,890,0.501,Yes
M,900,0.501,Yes
M,800,0.498,No
M,810,0.5,No
M,820,0.501,No
M,830,0.501,No
M,840,0.501,Yes
M,850,0.501,Yes
M,860,0.501,Yes
M,870,0.501,Yes
M,880,0.501,Yes
M,400,0.0,No
M,425,0.0,No
M,450,0.0,No
M,475,0.0,No
M,500,0.0,No
F,1550,1.0,Yes
F,1560,1.0,Yes
F,1570,1.0,Yes
F,1580,1.0,Yes
F,1600,1.0,Yes
F,1200,0.501,No
F,1210,0.501,No
F,1220,0.501,No
F,1230,0.501,No
F,1240,0.501,No
F,1250,0.501,No
F,1260,0.501,Yes
F,1270,0.502,Yes
F,1280,0.502,Yes
F,1290,0.504,Yes
F,1300,0.506,Yes
F,1200,0.501,No
F,1210,0.501,No
F,1220,0.501,No
F,1230,0.501,No
F,1240,0.501,No
F,1250,0.501,No
F,1260,0.501,Yes
F,1270,0.502,Yes
F,1280,0.502,Yes
F,400,0.0,No
F,425,0.0,No
F,450,0.0,No
F,475,0.0,No
F,500,0.0,No
