ID,Gender,SAT,Admission
1,M,1550,Yes
2,M,1551,Yes
3,M,1552,Yes
4,M,1554,Yes
5,M,1555,Yes
6,M,1556,Yes
7,M,1557,Yes
8,M,1559,Yes
9,M,1560,Yes
10,M,1561,Yes
11,M,1562,Yes
12,M,1563,Yes
13,M,1565,Yes
14,M,1566,Yes
15,M,1567,Yes
16,M,1568,Yes
17,M,1570,Yes
18,M,1571,Yes
19,M,1572,Yes
20,M,1573,Yes
21,M,1574,Yes
22,M,1576,Yes
23,M,1577,Yes
24,M,1578,Yes
25,M,1579,Yes
26,M,1580,Yes
27,M,1582,Yes
28,M,1583,Yes
29,M,1584,Yes
30,M,1585,Yes
31,M,1587,Yes
32,M,1588,Yes
33,M,1589,Yes
34,M,1590,Yes
35,M,1591,Yes
36,M,1593,Yes
37,M,1594,Yes
38,M,1595,Yes
39,M,1596,Yes
40,M,1598,Yes
41,M,1599,Yes
42,M,1600,Yes
43,M,850,Yes
44,M,851,Yes
45,M,852,Yes
46,M,854,Yes
47,M,855,Yes
48,M,856,Yes
49,M,857,Yes
50,M,859,Yes
51,M,860,Yes
52,M,861,Yes
53,M,862,Yes
54,M,863,Yes
55,M,865,Yes
56,M,866,Yes
57,M,867,Yes
58,M,868,Yes
59,M,870,Yes
60,M,871,Yes
61,M,872,Yes
62,M,873,Yes
63,M,874,Yes
64,M,876,Yes
65,M,877,Yes
66,M,878,Yes
67,M,879,Yes
68,M,880,Yes
69,M,882,Yes
70,M,883,Yes
71,M,884,Yes
72,M,885,Yes
73,M,887,Yes
74,M,888,Yes
75,M,889,Yes
76,M,890,Yes
77,M,891,Yes
78,M,893,Yes
79,M,894,Yes
80,M,895,Yes
81,M,896,Yes
82,M,898,Yes
83,M,899,Yes
84,M,900,Yes
85,M,400,No
86,M,403,No
87,M,406,No
88,M,409,No
89,M,412,No
90,M,414,No
91,M,417,No
92,M,420,No
93,M,423,No
94,M,426,No
95,M,429,No
96,M,432,No
97,M,435,No
98,M,438,No
99,M,441,No
100,M,443,No
101,M,446,No
102,M,449,No
103,M,452,No
104,M,455,No
105,M,458,No
106,M,461,No
107,M,464,No
108,M,467,No
109,M,470,No
110,M,472,No
111,M,475,No
112,M,478,No
113,M,481,No
114,M,484,No
115,M,487,No
116,M,490,No
117,M,493,No
118,M,496,No
119,M,499,No
120,M,501,No
121,M,504,No
122,M,507,No
123,M,510,No
124,M,513,No
125,M,516,No
126,M,519,No
127,M,522,No
128,M,525,No
129,M,528,No
130,M,530,No
131,M,533,No
132,M,536,No
133,M,539,No
134,M,542,No
135,M,545,No
136,M,548,No
137,M,551,No
138,M,554,No
139,M,557,No
140,M,559,No
141,M,562,No
142,M,565,No
143,M,568,No
144,M,571,No
145,M,574,No
146,M,577,No
147,M,580,No
148,M,583,No
149,M,586,No
150,M,588,No
151,M,591,No
152,M,594,No
153,M,597,No
154,M,600,No
155,F,1550,Yes
156,F,1558,Yes
157,F,1567,Yes
158,F,1575,Yes
159,F,1583,Yes
160,F,1592,Yes
161,F,1600,Yes
162,F,1200,No
163,F,1201,No
164,F,1203,No
165,F,1204,No
166,F,1206,No
167,F,1207,No
168,F,1209,No
169,F,1210,No
170,F,1212,No
171,F,1213,No
172,F,1215,No
173,F,1216,No
174,F,1218,No
175,F,1219,No
176,F,1221,No
177,F,1222,No
178,F,1224,No
179,F,1225,No
180,F,1226,No
181,F,1228,No
182,F,1229,No
183,F,1231,No
184,F,1232,No
185,F,1234,No
186,F,1235,No
187,F,1237,No
188,F,1238,No
189,F,1240,No
190,F,1241,No
191,F,1243,No
192,F,1244,No
193,F,1246,No
194,F,1247,No
195,F,1249,No
196,F,1250,No
197,F,400,No
198,F,402,No
199,F,404,No
200,F,405,No
201,F,407,No
202,F,409,No
203,F,411,No
204,F,413,No
205,F,414,No
206,F,416,No
207,F,418,No
208,F,420,No
209,F,422,No
210,F,423,No
211,F,425,No
212,F,427,No
213,F,429,No
214,F,431,No
215,F,432,No
216,F,434,No
217,F,436,No
218,F,438,No
219,F,440,No
220,F,441,No
221,F,443,No
222,F,445,No
223,F,447,No
224,F,449,No
225,F,450,No
226,F,452,No
227,F,454,No
228,F,456,No
229,F,458,No
230,F,459,No
231,F,461,No
232,F,463,No
233,F,465,No
234,F,467,No
235,F,468,No
236,F,470,No
237,F,472,No
238,F,474,No
239,F,476,No
240,F,477,No
241,F,479,No
242,F,481,No
243,F,483,No
244,F,485,No
245,F,486,No
246,F,488,No
247,F,490,No
248,F,492,No
249,F,494,No
250,F,495,No
251,F,497,No
252,F,499,No
253,F,501,No
254,F,503,No
255,F,505,No
256,F,506,No
257,F,508,No
258,F,510,No
259,F,512,No
260,F,514,No
261,F,515,No
262,F,517,No
263,F,519,No
264,F,521,No
265,F,523,No
266,F,524,No
267,F,526,No
268,F,528,No
269,F,530,No
270,F,532,No
271,F,533,No
272,F,535,No
273,F,537,No
274,F,539,No
275,F,541,No
276,F,542,No
277,F,544,No
278,F,546,No
279,F,548,No
280,F,550,No
281,F,551,No
282,F,553,No
283,F,555,No
284,F,557,No
285,F,559,No
286,F,560,No
287,F,562,No
288,F,564,No
289,F,566,No
290,F,568,No
291,F,569,No
292,F,571,No
293,F,573,No
294,F,575,No
295,F,577,No
296,F,578,No
297,F,580,No
298,F,582,No
299,F,584,No
300,F,586,No
301,F,587,No
302,F,589,No
303,F,591,No
304,F,593,No
305,F,595,No
306,F,596,No
307,F,598,No
308,F,600,No
