ID,Gender,SAT,Admission
92,M,422,No
153,F,1582,Yes
78,M,890,Yes
224,F,446,No
101,M,440,No
18,M,1567,Yes
3,M,1552,Yes
27,M,1576,Yes
61,M,840,Yes
32,M,1581,Yes
34,M,1583,Yes
137,F,1566,Yes
124,F,1553,Yes
139,F,1568,Yes
194,F,1266,No
70,M,858,Yes
91,M,420,No
142,F,1571,Yes
207,F,412,No
127,F,1556,Yes
204,F,406,No
85,M,408,No
59,M,836,Yes
189,F,1256,No
22,M,1571,Yes
216,F,430,No
1,M,1550,Yes
163,F,1204,No
180,F,1238,No
89,M,416,No
114,M,466,No
167,F,1212,No
205,F,408,No
148,F,1577,Yes
122,F,1551,Yes
154,F,1583,Yes
75,M,868,Yes
12,M,1561,Yes
176,F,1230,No
98,M,434,No
17,M,1566,Yes
72,M,862,Yes
140,F,1569,Yes
125,F,1554,Yes
161,F,1200,No
93,M,424,No
235,F,468,No
155,F,1584,Yes
210,F,418,No
232,F,462,No
209,F,416,No
131,F,1560,Yes
120,M,500,No
220,F,438,No
234,F,466,No
184,F,1246,No
165,F,1208,No
168,F,1214,No
62,M,842,Yes
132,F,1561,Yes
71,M,860,Yes
214,F,426,No
123,F,1552,Yes
133,F,1562,Yes
196,F,1270,No
203,F,404,No
60,M,838,Yes
46,M,810,Yes
37,M,1586,Yes
192,F,1262,No
58,M,834,Yes
147,F,1576,Yes
112,M,462,No
79,M,895,Yes
87,M,412,No
130,F,1559,Yes
202,F,402,No
182,F,1242,No
49,M,816,Yes
97,M,432,No
145,F,1574,Yes
160,F,1600,Yes
172,F,1222,No
106,M,450,No
222,F,442,No
225,F,448,No
158,F,1587,Yes
14,M,1563,Yes
121,F,1550,Yes
233,F,464,No
152,F,1581,Yes
162,F,1202,No
55,M,828,Yes
177,F,1232,No
111,M,460,No
88,M,414,No
230,F,458,No
47,M,812,Yes
213,F,424,No
166,F,1210,No
23,M,1572,Yes
65,M,848,Yes
149,F,1578,Yes
170,F,1218,No
218,F,434,No
190,F,1258,No
2,M,1551,Yes
187,F,1252,No
227,F,452,No
201,F,400,No
26,M,1575,Yes
188,F,1254,No
156,F,1585,Yes
90,M,418,No
181,F,1240,No
110,M,458,No
237,F,480,No
105,M,448,No
236,F,470,No
35,M,1584,Yes
116,M,470,No
113,M,464,No
231,F,460,No
228,F,454,No
10,M,1559,Yes
198,F,1290,No
96,M,430,No
82,M,402,No
179,F,1236,No
212,F,422,No
119,M,495,No
109,M,456,No
53,M,824,Yes
24,M,1573,Yes
4,M,1553,Yes
16,M,1565,Yes
5,M,1554,Yes
50,M,818,Yes
206,F,410,No
183,F,1244,No
126,F,1555,Yes
33,M,1582,Yes
73,M,864,Yes
100,M,438,No
52,M,822,Yes
150,F,1579,Yes
54,M,826,Yes
66,M,850,Yes
157,F,1586,Yes
44,M,806,Yes
56,M,830,Yes
151,F,1580,Yes
99,M,436,No
31,M,1580,Yes
95,M,428,No
195,F,1268,No
13,M,1562,Yes
41,M,800,Yes
21,M,1570,Yes
48,M,814,Yes
45,M,808,Yes
67,M,852,Yes
240,F,500,No
7,M,1556,Yes
193,F,1264,No
19,M,1568,Yes
191,F,1260,No
51,M,820,Yes
217,F,432,No
84,M,406,No
175,F,1228,No
118,M,490,No
129,F,1558,Yes
29,M,1578,Yes
238,F,490,No
108,M,454,No
173,F,1224,No
36,M,1585,Yes
9,M,1558,Yes
74,M,866,Yes
226,F,450,No
15,M,1564,Yes
86,M,410,No
159,F,1588,Yes
171,F,1220,No
83,M,404,No
64,M,846,Yes
69,M,856,Yes
197,F,1280,No
146,F,1575,Yes
40,M,1600,Yes
8,M,1557,Yes
