ID,Gender,SAT,Admission,Split
1,M,1550,Yes,cv_fold_3
2,M,1551,Yes,test
3,M,1552,Yes,cv_fold_2
4,M,1554,Yes,test
5,M,1555,Yes,cv_fold_4
6,M,1556,Yes,test
7,M,1557,Yes,cv_fold_4
8,M,1559,Yes,cv_fold_1
9,M,1560,Yes,cv_fold_2
10,M,1561,Yes,cv_fold_3
11,M,1562,Yes,test
12,M,1563,Yes,cv_fold_1
13,M,1565,Yes,cv_fold_3
14,M,1566,Yes,cv_fold_5
15,M,1567,Yes,cv_fold_4
16,M,1568,Yes,cv_fold_4
17,M,1570,Yes,test
18,M,1571,Yes,cv_fold_3
19,M,1572,Yes,test
20,M,1573,Yes,cv_fold_2
21,M,1574,Yes,cv_fold_2
22,M,1576,Yes,cv_fold_2
23,M,1577,Yes,cv_fold_1
24,M,1578,Yes,cv_fold_5
25,M,1579,Yes,cv_fold_4
26,M,1580,Yes,test
27,M,1582,Yes,cv_fold_3
28,M,1583,Yes,cv_fold_4
29,M,1584,Yes,cv_fold_1
30,M,1585,Yes,cv_fold_3
31,M,1587,Yes,cv_fold_1
32,M,1588,Yes,test
33,M,1589,Yes,cv_fold_5
34,M,1590,Yes,cv_fold_3
35,M,1591,Yes,cv_fold_1
36,M,1593,Yes,cv_fold_2
37,M,1594,Yes,cv_fold_5
38,M,1595,Yes,cv_fold_2
39,M,1596,Yes,test
40,M,1598,Yes,cv_fold_1
41,M,1599,Yes,cv_fold_5
42,M,1600,Yes,cv_fold_5
43,M,850,Yes,test
44,M,851,Yes,test
45,M,852,Yes,cv_fold_2
46,M,854,Yes,cv_fold_1
47,M,855,Yes,cv_fold_3
48,M,856,Yes,cv_fold_1
49,M,857,Yes,test
50,M,859,Yes,cv_fold_2
51,M,860,Yes,cv_fold_2
52,M,861,Yes,cv_fold_1
53,M,862,Yes,cv_fold_3
54,M,863,Yes,test
55,M,865,Yes,cv_fold_2
56,M,866,Yes,cv_fold_3
57,M,867,Yes,cv_fold_4
58,M,868,Yes,test
59,M,870,Yes,cv_fold_4
60,M,871,Yes,cv_fold_3
61,M,872,Yes,cv_fold_3
62,M,873,Yes,cv_fold_1
63,M,874,Yes,cv_fold_4
64,M,876,Yes,cv_fold_5
65,M,877,Yes,cv_fold_2
66,M,878,Yes,cv_fold_3
67,M,879,Yes,cv_fold_5
68,M,880,Yes,test
69,M,882,Yes,cv_fold_4
70,M,883,Yes,cv_fold_2
71,M,884,Yes,cv_fold_4
72,M,885,Yes,test
73,M,887,Yes,cv_fold_5
74,M,888,Yes,cv_fold_3
75,M,889,Yes,cv_fold_2
76,M,890,Yes,cv_fold_5
77,M,891,Yes,test
78,M,893,Yes,cv_fold_5
79,M,894,Yes,cv_fold_5
80,M,895,Yes,cv_fold_1
81,M,896,Yes,cv_fold_1
82,M,898,Yes,cv_fold_4
83,M,899,Yes,cv_fold_5
84,M,900,Yes,cv_fold_1
85,M,400,No,cv_fold_1
86,M,403,No,cv_fold_3
87,M,406,No,cv_fold_4
88,M,409,No,test
89,M,412,No,cv_fold_2
90,M,414,No,cv_fold_4
91,M,417,No,test
92,M,420,No,cv_fold_2
93,M,423,No,cv_fold_2
