Criterion,SAT,Gender,LFR_Score,Predicted_Admission
max_delta,400,M,0.15428179418780683,No
max_delta,400,F,0.17117359346751027,No
max_delta,410,M,0.15533315774892642,No
max_delta,410,F,0.17223748333391464,No
max_delta,420,M,0.15638622947553818,No
max_delta,420,F,0.1733024755631566,No
max_delta,430,M,0.15744102460389506,No
max_delta,430,F,0.17436869251630902,No
max_delta,440,M,0.1584975731237382,No
max_delta,440,F,0.17543628893737037,No
max_delta,450,M,0.15955592219472664,No
max_delta,450,F,0.1765054570772653,No
max_delta,460,M,0.16061613894149496,No
max_delta,460,F,0.17757643261838885,No
max_delta,470,M,0.16167831368687277,No
max_delta,470,F,0.17864950152423087,No
max_delta,480,M,0.16274256369208911,No
max_delta,480,F,0.17972500795763963,No
max_delta,490,M,0.1638090374834944,No
max_delta,490,F,0.18080336343309483,No
max_delta,500,M,0.1648779198576769,No
max_delta,500,F,0.18188505739333027,No
max_delta,510,M,0.1659494376710641,No
max_delta,510,F,0.18297066942917953,No
max_delta,520,M,0.16702386653645274,No
max_delta,520,F,0.18406088339404356,No
max_delta,530,M,0.16810153856770935,No
max_delta,530,F,0.1851565037013694,No
max_delta,540,M,0.16918285133545496,No
max_delta,540,F,0.18625847413545155,No
max_delta,550,M,0.17026827822128135,No
max_delta,550,F,0.18736789955320796,No
max_delta,560,M,0.17135838038633983,No
max_delta,560,F,0.18848607090779496,No
max_delta,570,M,0.172453820602461,No
max_delta,570,F,0.18961449408439698,No
max_delta,580,M,0.17355537923077513,No
max_delta,580,F,0.19075492310455022,No
max_delta,590,M,0.17466397267462097,No
max_delta,590,F,0.19190939832801368,No
max_delta,600,M,0.17578067468087297,No
max_delta,600,F,0.1930802903602971,No
max_delta,610,M,0.1769067409171945,No
max_delta,610,F,0.19427035045885407,No
max_delta,620,M,0.17804363731260198,No
max_delta,620,F,0.19548276832038827,No
max_delta,630,M,0.17919307271549298,No
max_delta,630,F,0.19672123822355114,No
max_delta,640,M,0.18035703649717721,No
max_delta,640,F,0.1979900345921347,No
max_delta,650,M,0.1815378418099408,No
max_delta,650,F,0.19929409812861093,No
max_delta,660,M,0.18273817529638925,No
max_delta,660,F,0.20063913373915226,No
max_delta,670,M,0.18396115414032063,No
max_delta,670,F,0.20203172151868237,No
max_delta,680,M,0.18521039144695794,No
max_delta,680,F,0.20347944207359378,No
max_delta,690,M,0.18649007103920587,No
max_delta,690,F,0.20499101741088885,No
max_delta,700,M,0.18780503285234118,No
max_delta,700,F,0.20657646848931857,No
max_delta,710,M,0.1891608701957949,No
max_delta,710,F,0.20824729027589237,No
max_delta,720,M,0.19056404021821402,No
max_delta,720,F,0.21001664473487128,No
max_delta,730,M,0.1920219889479183,No
max_delta,730,F,0.2118995715386022,No
max_delta,740,M,0.19354329226742645,No
max_delta,740,F,0.21391321535852806,No
max_delta,750,M,0.19513781409392597,No
max_delta,750,F,0.21607706728283735,No
max_delta,760,M,0.19681688284544738,No
max_delta,760,F,0.2184132161107954,No
max_delta,770,M,0.19859348693322182,No
max_delta,770,F,0.2209466028749083,No
max_delta,780,M,0.20048248948031705,No
max_delta,780,F,0.22370526881409447,No
max_delta,790,M,0.20250086165694797,No
max_delta,790,F,0.22672058304021317,No
max_delta,800,M,0.20466793285938886,No
max_delta,800,F,0.23002743120578784,No
max_delta,810,M,0.20700565434036766,No
max_delta,810,F,0.2336643405471401,No
max_delta,820,M,0.20953887070553015,No
max_delta,820,F,0.23767350980278573,No
max_delta,830,M,0.21229559079106536,No
max_delta,830,F,0.24210070492181307,No
max_delta,840,M,0.21530724569508686,No
max_delta,840,F,0.2469949736708342,No
max_delta,850,M,0.21860891702429985,No
max_delta,850,F,0.25240812507546406,No
max_delta,860,M,0.22223951265059003,No
max_delta,860,F,0.2583939144212309,No
max_delta,870,M,0.2262418604425585,No
max_delta,870,F,0.26500687317705923,No
max_delta,880,M,0.2306626826792844,No
max_delta,880,F,0.2723007281564634,No
max_delta,890,M,0.23555240552667234,No
max_delta,890,F,0.28032636841911285,No
max_delta,900,M,0.2409647497479599,No
max_delta,900,F,0.28912934487697534,No
max_delta,910,M,0.24695604186231745,No
max_delta,910,F,0.2987469288160911,No
max_delta,920,M,0.2535841809484273,No
max_delta,920,F,0.3092048125731775,No
max_delta,930,M,0.2609071975259317,No
max_delta,930,F,0.3205136066262834,No
max_delta,940,M,0.268981350334241,No
max_delta,940,F,0.3326653664799975,No
max_delta,950,M,0.27785872762299824,No
max_delta,950,F,0.3456304590536179,No
max_delta,960,M,0.287584354883469,No
max_delta,960,F,0.35935513607560543,No
max_delta,970,M,0.2981928628900212,No
max_delta,970,F,0.37376020255126796,No
max_delta,980,M,0.3097048383636901,No
max_delta,980,F,0.3887411340044623,No
max_delta,990,M,0.3221230607329594,No
max_delta,990,F,0.4041698958342396,No
max_delta,1000,M,0.33542891362147975,No
max_delta,1000,F,0.4198985532365231,No
max_delta,1010,M,0.3495793346262493,No
max_delta,1010,F,0.4357645485653037,No
max_delta,1020,M,0.3645047129204775,No
max_delta,1020,F,0.4515972984092194,No
max_delta,1030,M,0.38010814100398405,No
max_delta,1030,F,0.4672255682718264,No
max_delta,1040,M,0.39626635804385096,No
max_delta,1040,F,0.4824849604417708,No
max_delta,1050,M,0.4128325813857088,No
max_delta,1050,F,0.4972248287004378,No
max_delta,1060,M,0.42964121947883516,No
max_delta,1060,F,0.5113140176725834,Yes
max_delta,1070,M,0.4465142211681363,No
max_delta,1070,F,0.524644996084997,Yes
max_delta,1080,M,0.4632685851678722,No
max_delta,1080,F,0.5371361744962176,Yes
max_delta,1090,M,0.47972437685777325,No
max_delta,1090,F,0.5487324243636679,Yes
max_delta,1100,M,0.49571251687460965,No
max_delta,1100,F,0.5594040067151759,Yes
max_delta,1110,M,0.5110816370022946,Yes
max_delta,1110,F,0.5691442491989303,Yes
max_delta,1120,M,0.5257034370209909,Yes
max_delta,1120,F,0.5779663711891825,Yes
max_delta,1130,M,0.5394761906010175,Yes
max_delta,1130,F,0.585899854436814,Yes
max_delta,1140,M,0.5523262934391642,Yes
max_delta,1140,F,0.5929867077687778,Yes
max_delta,1150,M,0.5642079756052852,Yes
max_delta,1150,F,0.5992778983794476,Yes
max_delta,1160,M,0.5751014760026385,Yes
max_delta,1160,F,0.6048301375887112,Yes
max_delta,1170,M,0.585010080892284,Yes
max_delta,1170,F,0.6097031293069818,Yes
max_delta,1180,M,0.593956459622938,Yes
max_delta,1180,F,0.6139573231501437,Yes
max_delta,1190,M,0.6019787018758205,Yes
max_delta,1190,F,0.6176521646158736,Yes
max_delta,1200,M,0.6091263919307006,Yes
max_delta,1200,F,0.6208448018161697,Yes
max_delta,1210,M,0.6154569676523385,Yes
max_delta,1210,F,0.6235891896652284,Yes
max_delta,1220,M,0.6210325225573889,Yes
max_delta,1220,F,0.6259355249222338,Yes
max_delta,1230,M,0.6259171303573221,Yes
max_delta,1230,F,0.6279299457786305,Yes
max_delta,1240,M,0.6301747090095103,Yes
max_delta,1240,F,0.6296144348603157,Yes
max_delta,1250,M,0.6338673971691757,Yes
max_delta,1250,F,0.6310268723053074,Yes
max_delta,1260,M,0.6370543885656283,Yes
max_delta,1260,F,0.6322011943358011,Yes
max_delta,1270,M,0.6397911561516245,Yes
max_delta,1270,F,0.6331676213923122,Yes
max_delta,1280,M,0.6421289943149232,Yes
max_delta,1280,F,0.6339529278035991,Yes
max_delta,1290,M,0.6441148106273986,Yes
max_delta,1290,F,0.6345807318188113,Yes
max_delta,1300,M,0.6457911057472252,Yes
max_delta,1300,F,0.6350717905338019,Yes
max_delta,1310,M,0.6471960890829109,Yes
max_delta,1310,F,0.6354442888408387,Yes
max_delta,1320,M,0.6483638872275442,Yes
max_delta,1320,F,0.6357141151315393,Yes
max_delta,1330,M,0.6493248110739176,Yes
max_delta,1330,F,0.635895119229709,Yes
max_delta,1340,M,0.6501056554333102,Yes
max_delta,1340,F,0.6359993500724899,Yes
max_delta,1350,M,0.6507300116966213,Yes
max_delta,1350,F,0.6360372721342796,Yes
max_delta,1360,M,0.6512185795748717,Yes
max_delta,1360,F,0.6360179606211898,Yes
max_delta,1370,M,0.6515894683231349,Yes
max_delta,1370,F,0.6359492761581974,Yes
max_delta,1380,M,0.6518584812276232,Yes
max_delta,1380,F,0.6358380201314987,Yes
max_delta,1390,M,0.6520393796782633,Yes
max_delta,1390,F,0.6356900721025767,Yes
max_delta,1400,M,0.652144125013936,Yes
max_delta,1400,F,0.6355105108309593,Yes
max_delta,1410,M,0.6521830976555492,Yes
max_delta,1410,F,0.6353037204700056,Yes
max_delta,1420,M,0.6521652939545891,Yes
max_delta,1420,F,0.6350734834647578,Yes
max_delta,1430,M,0.6520985017825572,Yes
max_delta,1430,F,0.6348230616054208,Yes
max_delta,1440,M,0.6519894562510296,Yes
max_delta,1440,F,0.6345552665907432,Yes
max_delta,1450,M,0.6518439771471025,Yes
max_delta,1450,F,0.634272521344089,Yes
max_delta,1460,M,0.65166708974424,Yes
max_delta,1460,F,0.6339769132093949,Yes
max_delta,1470,M,0.6514631306416343,Yes
max_delta,1470,F,0.6336702400399684,Yes
max_delta,1480,M,0.6512358402241595,Yes
max_delta,1480,F,0.6333540500836711,Yes
max_delta,1490,M,0.6509884432404248,Yes
max_delta,1490,F,0.6330296764656147,Yes
max_delta,1500,M,0.6507237188830862,Yes
max_delta,1500,F,0.6326982669751793,Yes
max_delta,1510,M,0.6504440616338697,Yes
max_delta,1510,F,0.6323608097784099,Yes
max_delta,1520,M,0.650151534012824,Yes
max_delta,1520,F,0.6320181555996465,Yes
max_delta,1530,M,0.6498479122518611,Yes
max_delta,1530,F,0.6316710368472851,Yes
max_delta,1540,M,0.6495347257996215,Yes
max_delta,1540,F,0.6313200840973687,Yes
max_delta,1550,M,0.6492132914597994,Yes
max_delta,1550,F,0.6309658402946614,Yes
max_delta,1560,M,0.6488847428691257,Yes
max_delta,1560,F,0.6306087729833543,Yes
max_delta,1570,M,0.6485500559344088,Yes
max_delta,1570,F,0.6302492848379229,Yes
max_delta,1580,M,0.6482100707702387,Yes
max_delta,1580,F,0.6298877227282961,Yes
max_delta,1590,M,0.6478655106096809,Yes
max_delta,1590,F,0.6295243855218103,Yes
max_delta,1600,M,0.6475169980989836,Yes
max_delta,1600,F,0.6291595307968791,Yes
