ID,Gender,SAT,Admission,Split
1,M,826,Yes,test
2,M,1553,Yes,cv_fold_3
3,M,871,Yes,cv_fold_2
4,F,1584,Yes,cv_fold_1
5,F,411,No,cv_fold_4
6,M,807,Yes,test
7,M,852,Yes,cv_fold_1
8,F,446,No,cv_fold_2
9,M,830,Yes,cv_fold_4
10,F,429,No,cv_fold_3
11,F,477,No,cv_fold_4
12,M,475,No,cv_fold_3
13,F,1210,No,cv_fold_5
14,F,427,No,cv_fold_2
15,M,839,Yes,test
16,F,1581,Yes,cv_fold_5
17,F,1585,Yes,test
18,F,1230,No,test
19,M,817,Yes,cv_fold_4
20,F,1266,No,cv_fold_4
21,F,1261,No,cv_fold_2
22,F,1558,Yes,cv_fold_4
23,M,890,Yes,cv_fold_5
24,F,1283,No,cv_fold_5
25,F,1567,Yes,cv_fold_3
26,M,800,Yes,test
27,M,824,Yes,cv_fold_4
28,M,816,Yes,cv_fold_3
29,M,811,Yes,cv_fold_2
30,F,1265,No,cv_fold_5
31,F,1254,No,cv_fold_3
32,M,836,Yes,cv_fold_2
33,M,494,No,cv_fold_4
34,M,493,No,test
35,M,488,No,cv_fold_4
36,M,832,Yes,cv_fold_1
37,M,868,Yes,cv_fold_5
38,F,1223,No,cv_fold_3
39,M,423,No,test
40,F,1249,No,cv_fold_1
41,M,856,Yes,cv_fold_3
42,F,1240,No,cv_fold_1
43,M,883,Yes,cv_fold_4
44,M,863,Yes,cv_fold_5
45,F,493,No,cv_fold_3
46,F,1229,No,cv_fold_2
47,M,812,Yes,cv_fold_2
48,F,1583,Yes,cv_fold_2
49,F,1212,No,cv_fold_3
50,M,1574,Yes,cv_fold_4
51,F,1264,No,cv_fold_4
52,F,1297,No,cv_fold_5
53,M,847,Yes,cv_fold_3
54,F,1214,No,test
55,M,1582,Yes,cv_fold_4
56,F,1273,No,cv_fold_2
57,M,891,Yes,cv_fold_3
58,F,1209,No,cv_fold_5
59,F,1263,No,cv_fold_1
60,M,479,No,cv_fold_2
61,F,1215,No,cv_fold_3
62,M,822,Yes,cv_fold_2
63,M,876,Yes,cv_fold_4
64,M,424,No,cv_fold_3
65,F,1225,No,cv_fold_1
66,F,1279,No,test
67,M,407,No,test
68,M,848,Yes,cv_fold_1
69,F,1241,No,test
70,F,1582,Yes,cv_fold_4
71,F,498,No,test
72,M,806,Yes,cv_fold_3
73,F,1275,No,cv_fold_1
74,M,898,Yes,cv_fold_3
75,M,472,No,cv_fold_1
76,M,869,Yes,test
77,F,1292,No,cv_fold_5
78,F,402,No,test
79,F,1237,No,cv_fold_1
80,F,1218,No,cv_fold_2
81,M,842,Yes,test
82,M,1575,Yes,cv_fold_2
83,M,895,Yes,cv_fold_1
84,F,1572,Yes,test
85,M,1591,Yes,cv_fold_2
86,F,1296,No,cv_fold_2
87,M,893,Yes,test
88,F,434,No,cv_fold_3
89,F,1221,No,cv_fold_2
90,F,1247,No,cv_fold_3
91,M,841,Yes,cv_fold_5
92,F,490,No,cv_fold_2
93,F,1589,Yes,cv_fold_1
94,F,1287,No,cv_fold_1
95,F,1252,No,cv_fold_2
96,M,882,Yes,cv_fold_5
