Az,Ax,Ay,Validation_Accuracy,Validation_Discrimination,Validation_Delta,Training_Objective,Optimization_Success,Iterations,Selected
0.0,0.01,0.1,1.0,0.7142857142857142,0.2857142857142858,3.460247942391015e-05,True,31,False
0.1,0.01,0.1,0.5714285714285714,0.1428571428571429,0.4285714285714285,0.04563888543770198,True,51,False
0.5,0.01,0.1,0.5,0.2857142857142857,0.2142857142857143,0.04621970691477776,True,49,False
1.0,0.01,0.1,0.6428571428571429,0.0,0.6428571428571429,0.046952723115136326,True,54,False
5.0,0.01,0.1,0.2857142857142857,0.7142857142857142,-0.4285714285714285,0.054307405312611245,True,89,False
10.0,0.01,0.1,0.6428571428571429,0.0,0.6428571428571429,2.302422084691746,True,19,False
0.0,0.01,0.5,1.0,0.7142857142857142,0.2857142857142858,0.00014381169391862792,True,32,False
0.1,0.01,0.5,1.0,0.7142857142857142,0.2857142857142858,0.1305475503277115,True,41,False
0.5,0.01,0.5,0.2857142857142857,0.7142857142857142,-0.4285714285714285,0.22733234345368528,True,45,False
1.0,0.01,0.5,0.35714285714285715,0.5714285714285714,-0.21428571428571425,0.2280738624603577,True,56,False
5.0,0.01,0.5,0.5,0.0,0.5,0.3475031482013178,True,90,False
10.0,0.01,0.5,0.42857142857142855,0.42857142857142855,0.0,0.2412957508204246,True,44,False
0.0,0.01,1.0,1.0,0.7142857142857142,0.2857142857142858,0.0002796863211237562,True,30,False
0.1,0.01,1.0,1.0,0.7142857142857142,0.2857142857142858,0.13068666325517359,True,36,False
0.5,0.01,1.0,0.6428571428571429,0.0,0.6428571428571429,0.4536695330418151,True,43,True
1.0,0.01,1.0,0.5,0.2857142857142857,0.2142857142857143,0.45449222920858845,True,58,False
5.0,0.01,1.0,0.5714285714285714,0.1428571428571429,0.4285714285714285,0.463500201446827,True,47,False
10.0,0.01,1.0,0.42857142857142855,0.42857142857142855,0.0,0.46824595299227956,True,45,False
0.0,0.01,5.0,1.0,0.7142857142857142,0.2857142857142858,0.0013653110216053728,True,34,False
0.1,0.01,5.0,1.0,0.7142857142857142,0.2857142857142858,0.13177398952439243,True,37,False
0.5,0.01,5.0,1.0,0.7142857142857142,0.2857142857142858,0.6533981431093391,True,36,False
1.0,0.01,5.0,1.0,0.7142857142857142,0.2857142857142858,1.3053871692312404,True,55,False
5.0,0.01,5.0,0.6428571428571429,0.0,0.6428571428571429,2.271515577722629,True,47,False
10.0,0.01,5.0,0.5,0.2857142857142857,0.2142857142857143,2.27900674780197,True,44,False
0.0,0.01,10.0,1.0,0.7142857142857142,0.2857142857142858,0.002722097869534267,True,34,False
0.1,0.01,10.0,1.0,0.7142857142857142,0.2857142857142858,0.13313095465919889,True,36,False
0.5,0.01,10.0,1.0,0.7142857142857142,0.2857142857142858,0.6547616859428312,True,33,False
1.0,0.01,10.0,1.0,0.7142857142857142,0.2857142857142858,1.3067871413348828,True,37,False
5.0,0.01,10.0,0.6428571428571429,0.0,0.6428571428571429,4.534913283355076,True,97,False
10.0,0.01,10.0,0.7857142857142857,0.2857142857142857,0.5,4.563444551498513,True,43,False
