ID,Gender,SAT,Admission,v1,v2,v3,v4,LFR_Score,Predicted_Admission
1,M,1550,Yes,1.5476441815151795e-40,1.5763415341193018e-06,1.5848045754138474e-06,0.9999968387538909,0.999998415095425,Yes
2,M,1560,Yes,2.9231268485037326e-41,7.965387043829678e-07,8.009122955951467e-07,0.9999984024490003,0.9999991989877046,Yes
3,M,1570,Yes,5.5210778195608616e-42,4.024974303355284e-07,4.0475653529579816e-07,0.9999991926460344,0.9999995951434648,Yes
4,M,1580,Yes,1.0427973178899031e-42,2.0338511764843545e-07,2.045514717761226e-07,0.9999995919634106,0.9999997953485282,Yes
5,M,1600,Yes,3.7200755881153674e-44,5.193152475036068e-08,5.2242009237307495e-08,0.999999895726466,0.9999999476579907,Yes
6,M,800,Yes,0.005532166452096493,0.49816451025326636,0.4963033232448207,1.8467687140638684e-17,0.49816451025326636,No
7,M,810,Yes,0.0020748950436459196,0.49986611915409135,0.4980589857522761,3.6672248570247265e-17,0.4998661191540914,No
8,M,820,Yes,0.0007765233133544512,0.5004861792288653,0.49873729740773143,7.266412392885437e-17,0.5004861792288654,Yes
9,M,830,Yes,0.0002903751361207459,0.5006993626117787,0.4990102622020305,1.4386299778910518e-16,0.5006993626117788,Yes
10,M,840,Yes,0.00010855056523645688,0.5007601068378539,0.49913134254683333,2.847383113658314e-16,0.5007601068378542,Yes
11,M,850,Yes,4.057469772032666e-05,0.5007638264046523,0.49919559884755044,5.634991242777822e-16,0.5007638264046529,Yes
12,M,860,Yes,1.516561430897156e-05,0.5007462263631788,0.4992386079724365,1.1151212599005172e-15,0.5007462263631799,Yes
13,M,870,Yes,5.668365007691066e-06,0.5007206573459025,0.49927367423901553,2.2067037538146235e-15,0.5007206573459048,Yes
14,M,880,Yes,2.118619792776589e-06,0.5006921098726171,0.4993057714575165,4.366800860451493e-15,0.5006921098726215,Yes
15,M,890,Yes,7.91857938881828e-07,0.5006624492137638,0.49933675887822243,8.641353539910061e-15,0.5006624492137725,Yes
16,M,900,Yes,2.959655499364049e-07,0.5006323725092892,0.49936733147508067,1.7100145179441512e-14,0.5006323725093063,Yes
17,M,800,Yes,0.005532166452096493,0.49816451025326636,0.4963033232448207,1.8467687140638684e-17,0.49816451025326636,No
18,M,810,Yes,0.0020748950436459196,0.49986611915409135,0.4980589857522761,3.6672248570247265e-17,0.4998661191540914,No
19,M,820,Yes,0.0007765233133544512,0.5004861792288653,0.49873729740773143,7.266412392885437e-17,0.5004861792288654,Yes
20,M,830,Yes,0.0002903751361207459,0.5006993626117787,0.4990102622020305,1.4386299778910518e-16,0.5006993626117788,Yes
21,M,840,Yes,0.00010855056523645688,0.5007601068378539,0.49913134254683333,2.847383113658314e-16,0.5007601068378542,Yes
22,M,850,Yes,4.057469772032666e-05,0.5007638264046523,0.49919559884755044,5.634991242777822e-16,0.5007638264046529,Yes
23,M,860,Yes,1.516561430897156e-05,0.5007462263631788,0.4992386079724365,1.1151212599005172e-15,0.5007462263631799,Yes
24,M,870,Yes,5.668365007691066e-06,0.5007206573459025,0.49927367423901553,2.2067037538146235e-15,0.5007206573459048,Yes
25,M,880,Yes,2.118619792776589e-06,0.5006921098726171,0.4993057714575165,4.366800860451493e-15,0.5006921098726215,Yes
26,M,400,No,0.9999999998999987,7.232303855826021e-16,7.170407920388535e-16,3.720075975648824e-44,7.232303855826021e-16,No
27,M,425,No,0.9999999998999831,8.466944621995069e-15,8.397028326181184e-15,2.399452466376806e-42,8.466944621995069e-15,No
28,M,450,No,0.9999999998998026,9.912353333186981e-14,9.833483044972376e-14,1.5476490738597228e-40,9.912353333186981e-14,No
29,M,475,No,0.9999999998976881,1.1604510598370049e-12,1.1515667810013224e-12,9.982350929547934e-39,1.1604510598370049e-12,No
30,M,500,No,0.9999999998729288,1.3585539346521404e-11,1.3485618930860156e-11,6.438625639459526e-37,1.3585539346521404e-11,No
31,F,1550,Yes,1.5476441815151795e-40,1.5763415341193018e-06,1.5848045754138474e-06,0.9999968387538909,0.999998415095425,Yes
