Criterion,SAT,Gender,LFR_Score,Predicted_Admission
max_delta,400,M,0.0006160230959878169,No
max_delta,400,F,7.603860622298671e-14,No
max_delta,410,M,0.0008286066384976709,No
max_delta,410,F,1.0230054599441804e-13,No
max_delta,420,M,0.0011144688729630152,No
max_delta,420,F,1.3763273987513375e-13,No
max_delta,430,M,0.0014988032095152228,No
max_delta,430,F,1.8516783953987437e-13,No
max_delta,440,M,0.002015411180158932,No
max_delta,440,F,2.4912044060861507e-13,No
max_delta,450,M,0.0027096005435310495,No
max_delta,450,F,3.351607605469986e-13,No
max_delta,460,M,0.003642024290626698,No
max_delta,460,F,4.509173760932844e-13,No
max_delta,470,M,0.004893737831930645,No
max_delta,470,F,6.066535943259181e-13,No
max_delta,480,M,0.00657281012480919,No
max_delta,480,F,8.161774263327439e-13,No
max_delta,490,M,0.008822874846477077,No
max_delta,490,F,1.0980658443065587e-12,No
max_delta,500,M,0.011834026766146994,No
max_delta,500,F,1.4773118681439795e-12,No
max_delta,510,M,0.015856412055868747,No
max_delta,510,F,1.987540516877645e-12,No
max_delta,520,M,0.021216650991138675,No
max_delta,520,F,2.673990097427797e-12,No
max_delta,530,M,0.028336737470763755,No
max_delta,530,F,3.597523160117999e-12,No
max_delta,540,M,0.03775408453723184,No
max_delta,540,F,4.840022743551232e-12,No
max_delta,550,M,0.05013966456718959,No
max_delta,550,F,6.511652355092761e-12,No
max_delta,560,M,0.0663084539571679,No
max_delta,560,F,8.76062337724664e-12,No
max_delta,570,M,0.0872125416978355,No
max_delta,570,F,1.1786335905644021e-11,No
max_delta,580,M,0.11390281099704125,No
max_delta,580,F,1.5857058122294145e-11,No
max_delta,590,M,0.1474418864993158,No
max_delta,590,F,2.1333711707049743e-11,No
max_delta,600,M,0.18875297600876279,No
max_delta,600,F,2.870187216875807e-11,No
max_delta,610,M,0.23840216532730518,No
max_delta,610,F,3.861482133544572e-11,No
max_delta,620,M,0.2963404255804042,No
max_delta,620,F,5.19514691583899e-11,No
max_delta,630,M,0.3616725901017628,No
max_delta,630,F,6.989428034010483e-11,No
max_delta,640,M,0.4325540639990995,No
max_delta,640,F,9.403411498021043e-11,No
max_delta,650,M,0.506308581800531,Yes
max_delta,650,F,1.265112787056487e-10,No
max_delta,660,M,0.5797895385292855,Yes
max_delta,660,F,1.7020528818638945e-10,No
max_delta,670,M,0.6498962761985805,Yes
max_delta,670,F,2.2899017718078745e-10,No
max_delta,680,M,0.7140747290252113,Yes
max_delta,680,F,3.080779792623243e-10,No
max_delta,690,M,0.7706404309813238,Yes
max_delta,690,F,4.1448084137177313e-10,No
max_delta,700,M,0.8188543428779458,Yes
max_delta,700,F,5.576327404811317e-10,No
max_delta,710,M,0.858790281575321,Yes
max_delta,710,F,7.502259265156438e-10,No
max_delta,720,M,0.8910927990849361,Yes
max_delta,720,F,1.0093362529129798e-09,No
max_delta,730,M,0.916722487740881,Yes
max_delta,730,F,1.3579371697866827e-09,No
max_delta,740,M,0.9367487413016726,Yes
max_delta,740,F,1.8269366145765768e-09,No
max_delta,750,M,0.9522102139830201,Yes
max_delta,750,F,2.4579173966231474e-09,No
max_delta,760,M,0.9640373004860268,Yes
